second,Volt,Volt
-77.0000E-03,+128.3203E-03,-71.8078E-03
-76.8000E-03,+116.6016E-03,-75.3234E-03
-76.6000E-03,+106.8360E-03,-78.8391E-03
-76.4000E-03,+97.0703E-03,-82.5500E-03
-76.2000E-03,+89.2578E-03,-86.2609E-03
-76.0000E-03,+80.4688E-03,-89.9719E-03
-75.8000E-03,+72.6563E-03,-93.6828E-03
-75.6000E-03,+66.7969E-03,-97.1984E-03
-75.4000E-03,+59.9610E-03,-101.1047E-03
-75.2000E-03,+54.1016E-03,-104.8156E-03
-75.0000E-03,+48.2422E-03,-108.3313E-03
-74.8000E-03,+42.3828E-03,-112.0422E-03
-74.6000E-03,+38.4766E-03,-115.5578E-03
-74.4000E-03,+34.5703E-03,-118.8781E-03
-74.2000E-03,+30.6641E-03,-122.1984E-03
-74.0000E-03,+26.7578E-03,-125.5188E-03
-73.8000E-03,+23.8281E-03,-129.0344E-03
-73.6000E-03,+20.8985E-03,-132.3547E-03
-73.4000E-03,+18.9453E-03,-135.2844E-03
-73.2000E-03,+17.9688E-03,-138.4094E-03
-73.0000E-03,+16.9922E-03,-141.3391E-03
-72.8000E-03,+16.9922E-03,-144.2688E-03
-72.6000E-03,+16.9922E-03,-147.1984E-03
-72.4000E-03,+17.9688E-03,-150.3234E-03
-72.2000E-03,+18.9453E-03,-153.0578E-03
-72.0000E-03,+20.8985E-03,-156.1828E-03
-71.8000E-03,+22.8516E-03,-159.3078E-03
-71.6000E-03,+25.7813E-03,-162.4328E-03
-71.4000E-03,+28.7110E-03,-165.3625E-03
-71.2000E-03,+33.5938E-03,-168.4875E-03
-71.0000E-03,+38.4766E-03,-171.2219E-03
-70.8000E-03,+43.3594E-03,-174.1516E-03
-70.6000E-03,+47.2656E-03,-177.2766E-03
-70.4000E-03,+53.1250E-03,-180.0109E-03
-70.2000E-03,+58.9844E-03,-182.7453E-03
-70.0000E-03,+65.8203E-03,-185.4797E-03
-69.8000E-03,+72.6563E-03,-188.0188E-03
-69.6000E-03,+80.4688E-03,-190.5578E-03
-69.4000E-03,+88.2813E-03,-192.9016E-03
-69.2000E-03,+97.0703E-03,-195.2453E-03
-69.0000E-03,+105.8594E-03,-197.3938E-03
-68.8000E-03,+115.6250E-03,-199.3469E-03
-68.6000E-03,+127.3438E-03,-201.4953E-03
-68.4000E-03,+139.0625E-03,-203.2531E-03
-68.2000E-03,+149.8047E-03,-205.0109E-03
-68.0000E-03,+161.5235E-03,-206.3781E-03
-67.8000E-03,+174.2188E-03,-208.1359E-03
-67.6000E-03,+186.9141E-03,-209.5031E-03
-67.4000E-03,+199.6094E-03,-210.6750E-03
-67.2000E-03,+214.2578E-03,-212.0422E-03
-67.0000E-03,+227.9297E-03,-213.0188E-03
-66.8000E-03,+244.5313E-03,-213.9953E-03
-66.6000E-03,+258.2031E-03,-214.5813E-03
-66.4000E-03,+274.8047E-03,-215.5578E-03
-66.2000E-03,+291.4063E-03,-216.1438E-03
-66.0000E-03,+308.0078E-03,-216.9250E-03
-65.8000E-03,+325.5860E-03,-217.3156E-03
-65.6000E-03,+342.1875E-03,-217.9016E-03
-65.4000E-03,+360.7422E-03,-218.4875E-03
-65.2000E-03,+378.3203E-03,-219.0734E-03
-65.0000E-03,+396.8750E-03,-218.8781E-03
-64.8000E-03,+416.4063E-03,-219.0734E-03
-64.6000E-03,+435.9375E-03,-219.2688E-03
-64.4000E-03,+455.4688E-03,-219.4641E-03
-64.2000E-03,+475.9766E-03,-218.8781E-03
-64.0000E-03,+496.4844E-03,-218.8781E-03
-63.8000E-03,+516.9922E-03,-218.4875E-03
-63.6000E-03,+537.5000E-03,-217.7063E-03
-63.4000E-03,+558.0078E-03,-216.9250E-03
-63.2000E-03,+579.4922E-03,-216.3391E-03
-63.0000E-03,+600.9766E-03,-215.1672E-03
-62.8000E-03,+624.4141E-03,-213.8000E-03
-62.6000E-03,+646.8750E-03,-212.2375E-03
-62.4000E-03,+671.2891E-03,-211.2609E-03
-62.2000E-03,+693.7500E-03,-209.6984E-03
-62.0000E-03,+718.1641E-03,-207.7453E-03
-61.8000E-03,+742.5781E-03,-205.7922E-03
-61.6000E-03,+767.9688E-03,-204.0344E-03
-61.4000E-03,+793.3594E-03,-202.0813E-03
-61.2000E-03,+818.7500E-03,-199.9328E-03
-61.0000E-03,+844.1406E-03,-197.7844E-03
-60.8000E-03,+870.5078E-03,-195.8313E-03
-60.6000E-03,+896.8750E-03,-193.4875E-03
-60.4000E-03,+922.2656E-03,-191.5344E-03
-60.2000E-03,+948.6328E-03,-188.9953E-03
-60.0000E-03,+975.9766E-03,-187.0422E-03
-59.8000E-03,+1.0023438E+00,-184.5031E-03
-59.6000E-03,+1.0267578E+00,-182.3547E-03
-59.4000E-03,+1.0531250E+00,-180.0109E-03
-59.2000E-03,+1.0804688E+00,-177.6672E-03
-59.0000E-03,+1.1087891E+00,-175.1281E-03
-58.8000E-03,+1.1361328E+00,-172.3938E-03
-58.6000E-03,+1.1634766E+00,-170.0500E-03
-58.4000E-03,+1.1927735E+00,-167.3156E-03
-58.2000E-03,+1.2201172E+00,-164.3859E-03
-58.0000E-03,+1.2474610E+00,-162.0422E-03
-57.8000E-03,+1.2748047E+00,-158.9172E-03
-57.6000E-03,+1.3021485E+00,-155.9875E-03
-57.4000E-03,+1.3285156E+00,-152.6672E-03
-57.2000E-03,+1.3539063E+00,-150.1281E-03
-57.0000E-03,+1.3802735E+00,-147.0031E-03
-56.8000E-03,+1.4085938E+00,-143.8781E-03
-56.6000E-03,+1.4369141E+00,-140.9484E-03
-56.4000E-03,+1.4652344E+00,-138.0188E-03
-56.2000E-03,+1.4945313E+00,-135.2844E-03
-56.0000E-03,+1.5238281E+00,-131.7688E-03
-55.8000E-03,+1.5521485E+00,-128.4484E-03
-55.6000E-03,+1.5814453E+00,-125.1281E-03
-55.4000E-03,+1.6068360E+00,-122.0031E-03
-55.2000E-03,+1.6341797E+00,-118.8781E-03
-55.0000E-03,+1.6615235E+00,-115.5578E-03
-54.8000E-03,+1.6908203E+00,-112.6281E-03
-54.6000E-03,+1.7201172E+00,-109.6984E-03
-54.4000E-03,+1.7474610E+00,-106.5734E-03
-54.2000E-03,+1.7767578E+00,-103.4484E-03
-54.0000E-03,+1.8070313E+00,-100.3234E-03
-53.8000E-03,+1.8343750E+00,-97.0031E-03
-53.6000E-03,+1.8617188E+00,-93.8781E-03
-53.4000E-03,+1.8900391E+00,-90.9484E-03
-53.2000E-03,+1.9173828E+00,-87.8234E-03
-53.0000E-03,+1.9447266E+00,-84.5031E-03
-52.8000E-03,+1.9730469E+00,-81.3781E-03
-52.6000E-03,+1.9994141E+00,-78.0578E-03
-52.4000E-03,+2.0257813E+00,-74.9328E-03
-52.2000E-03,+2.0511719E+00,-71.4172E-03
-52.0000E-03,+2.0765625E+00,-68.0969E-03
-51.8000E-03,+2.1009766E+00,-64.7766E-03
-51.6000E-03,+2.1253906E+00,-61.6516E-03
-51.4000E-03,+2.1507813E+00,-57.9406E-03
-51.2000E-03,+2.1771485E+00,-54.2297E-03
-51.0000E-03,+2.2025391E+00,-50.9094E-03
-50.8000E-03,+2.2279297E+00,-47.7844E-03
-50.6000E-03,+2.2513672E+00,-44.4641E-03
-50.4000E-03,+2.2757813E+00,-41.1438E-03
-50.2000E-03,+2.3011719E+00,-37.8234E-03
-50.0000E-03,+2.3255860E+00,-34.3078E-03
-49.8000E-03,+2.3490235E+00,-30.4016E-03
-49.6000E-03,+2.3714844E+00,-27.0813E-03
-49.4000E-03,+2.3939453E+00,-23.7609E-03
-49.2000E-03,+2.4173828E+00,-20.2453E-03
-49.0000E-03,+2.4398438E+00,-17.1203E-03
-48.8000E-03,+2.4623047E+00,-13.9953E-03
-48.6000E-03,+2.4828125E+00,-10.6750E-03
-48.4000E-03,+2.5042969E+00,-7.3547E-03
-48.2000E-03,+2.5248047E+00,-3.8391E-03
-48.0000E-03,+2.5443360E+00,-714.1E-06
-47.8000E-03,+2.5638672E+00,+2.4109E-03
-47.6000E-03,+2.5814453E+00,+5.9266E-03
-47.4000E-03,+2.5990235E+00,+9.0516E-03
-47.2000E-03,+2.6175781E+00,+12.3719E-03
-47.0000E-03,+2.6361328E+00,+15.6922E-03
-46.8000E-03,+2.6537110E+00,+19.5984E-03
-46.6000E-03,+2.6722656E+00,+23.1141E-03
-46.4000E-03,+2.6898438E+00,+26.6297E-03
