Acquired on 5/10/2022 at 15:41:28
Calibrated on 5/10/2022 at 15:36:33
Device Descriptor:  [none]
Scan Range (nm):  1539.624  --  1560.517
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100000
Frequency domain window was applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is decimated by a factor of 64.

Time (ns)	Amplitude (dB/mm)	
-7.06591879E+000	-1.00033158E+002	
-7.04520549E+000	-9.89091302E+001	
-7.02449218E+000	-9.97554082E+001	
-7.00377888E+000	-9.98454078E+001	
-6.98306557E+000	-9.90672084E+001	
-6.96235227E+000	-9.84700849E+001	
-6.94163896E+000	-9.98223480E+001	
-6.92092566E+000	-1.00066317E+002	
-6.90021235E+000	-9.95101132E+001	
-6.87949904E+000	-9.95680823E+001	
-6.85878574E+000	-9.98804194E+001	
-6.83807243E+000	-9.92978192E+001	
-6.81735913E+000	-9.93666910E+001	
-6.79664582E+000	-9.91283221E+001	
-6.77593252E+000	-9.79111735E+001	
-6.75521921E+000	-9.98625083E+001	
-6.73450591E+000	-1.00149934E+002	
-6.71379260E+000	-9.82834390E+001	
-6.69307930E+000	-9.97665948E+001	
-6.67236599E+000	-9.94050283E+001	
-6.65165269E+000	-9.89740020E+001	
-6.63093938E+000	-9.96319186E+001	
-6.61022608E+000	-9.96556969E+001	
-6.58951277E+000	-9.90914810E+001	
-6.56879947E+000	-1.00628294E+002	
-6.54808616E+000	-9.89944337E+001	
-6.52737285E+000	-9.92082793E+001	
-6.50665955E+000	-9.88558148E+001	
-6.48594624E+000	-9.87272376E+001	
-6.46523294E+000	-9.82529878E+001	
-6.44451963E+000	-9.93570124E+001	
-6.42380633E+000	-9.90096691E+001	
-6.40309302E+000	-1.00102195E+002	
-6.38237972E+000	-9.95311480E+001	
-6.36166641E+000	-9.98796895E+001	
-6.34095311E+000	-1.00039731E+002	
-6.32023980E+000	-9.79077439E+001	
-6.29952650E+000	-9.96006337E+001	
-6.27881319E+000	-9.90608446E+001	
-6.25809989E+000	-9.96299318E+001	
-6.23738658E+000	-1.00550687E+002	
-6.21667327E+000	-9.91480737E+001	
-6.19595997E+000	-9.74631902E+001	
-6.17524666E+000	-9.94634845E+001	
-6.15453336E+000	-9.93858463E+001	
-6.13382005E+000	-9.83996439E+001	
-6.11310675E+000	-9.94996469E+001	
-6.09239344E+000	-9.93162048E+001	
-6.07168014E+000	-9.99440458E+001	
-6.05096683E+000	-9.92588536E+001	
-6.03025353E+000	-9.93746599E+001	
-6.00954022E+000	-9.86744247E+001	
-5.98882692E+000	-9.89169907E+001	
-5.96811361E+000	-9.82966238E+001	
-5.94740031E+000	-9.91705688E+001	
-5.92668700E+000	-9.86675910E+001	
-5.90597369E+000	-9.90008656E+001	
-5.88526039E+000	-9.97269372E+001	
-5.86454708E+000	-9.97675402E+001	
-5.84383378E+000	-9.90229717E+001	
-5.82312047E+000	-9.85347299E+001	
-5.80240717E+000	-1.01790163E+002	
-5.78169386E+000	-9.79193049E+001	
-5.76098056E+000	-9.91621308E+001	
-5.74026725E+000	-1.00614236E+002	
-5.71955395E+000	-9.94937265E+001	
-5.69884064E+000	-9.94235648E+001	
-5.67812734E+000	-9.92577214E+001	
-5.65741403E+000	-9.99834700E+001	
-5.63670073E+000	-9.99431394E+001	
-5.61598742E+000	-9.91538795E+001	
-5.59527412E+000	-9.98190589E+001	
-5.57456081E+000	-9.92130718E+001	
-5.55384750E+000	-9.93855397E+001	
-5.53313420E+000	-9.89733825E+001	
-5.51242089E+000	-9.90280950E+001	
-5.49170759E+000	-9.88578627E+001	
-5.47099428E+000	-9.94755393E+001	
-5.45028098E+000	-9.87774474E+001	
-5.42956767E+000	-9.87490122E+001	
-5.40885437E+000	-1.00143203E+002	
-5.38814106E+000	-9.95807659E+001	
-5.36742776E+000	-9.80931019E+001	
-5.34671445E+000	-9.96989786E+001	
-5.32600115E+000	-9.89740476E+001	
-5.30528784E+000	-9.87764423E+001	
-5.28457454E+000	-9.79774319E+001	
-5.26386123E+000	-9.96848575E+001	
-5.24314792E+000	-9.83763868E+001	
-5.22243462E+000	-1.00554070E+002	
-5.20172131E+000	-1.00274139E+002	
-5.18100801E+000	-9.97507889E+001	
-5.16029470E+000	-9.96285841E+001	
-5.13958140E+000	-9.89736561E+001	
-5.11886809E+000	-9.89672358E+001	
-5.09815479E+000	-1.00789811E+002	
-5.07744148E+000	-9.89558176E+001	
-5.05672818E+000	-9.99537061E+001	
-5.03601487E+000	-9.83228424E+001	
-5.01530157E+000	-9.86478189E+001	
-4.99458826E+000	-9.74206045E+001	
-4.97387496E+000	-9.97489943E+001	
-4.95316165E+000	-9.82103053E+001	
-4.93244834E+000	-9.92054870E+001	
-4.91173504E+000	-9.86493410E+001	
-4.89102173E+000	-9.83168380E+001	
-4.87030843E+000	-9.80063023E+001	
-4.84959512E+000	-1.00510588E+002	
-4.82888182E+000	-9.86176804E+001	
-4.80816851E+000	-9.89433711E+001	
-4.78745521E+000	-9.92135755E+001	
-4.76674190E+000	-9.95889218E+001	
-4.74602860E+000	-9.89610882E+001	
-4.72531529E+000	-9.87222000E+001	
-4.70460199E+000	-1.00546837E+002	
-4.68388868E+000	-9.88702164E+001	
-4.66317538E+000	-9.89837920E+001	
-4.64246207E+000	-9.98601265E+001	
-4.62174877E+000	-1.00546329E+002	
-4.60103546E+000	-9.84562060E+001	
-4.58032215E+000	-9.95509619E+001	
-4.55960885E+000	-9.84540004E+001	
-4.53889554E+000	-1.00204355E+002	
-4.51818224E+000	-9.85511612E+001	
-4.49746893E+000	-9.90593180E+001	
-4.47675563E+000	-9.90444300E+001	
-4.45604232E+000	-9.93985335E+001	
-4.43532902E+000	-9.81806741E+001	
-4.41461571E+000	-9.93884832E+001	
-4.39390241E+000	-1.00355662E+002	
-4.37318910E+000	-9.94402228E+001	
-4.35247580E+000	-9.96144261E+001	
-4.33176249E+000	-9.92407339E+001	
-4.31104919E+000	-9.91277866E+001	
-4.29033588E+000	-9.84100199E+001	
-4.26962257E+000	-9.81833642E+001	
-4.24890927E+000	-9.87953799E+001	
-4.22819596E+000	-9.94861883E+001	
-4.20748266E+000	-1.00330186E+002	
-4.18676935E+000	-9.84786271E+001	
-4.16605605E+000	-9.94808851E+001	
-4.14534274E+000	-9.94258970E+001	
-4.12462944E+000	-1.00113912E+002	
-4.10391613E+000	-9.85610803E+001	
-4.08320283E+000	-9.88868566E+001	
-4.06248952E+000	-9.87335764E+001	
-4.04177622E+000	-1.00156488E+002	
-4.02106291E+000	-9.89809336E+001	
-4.00034961E+000	-9.94680134E+001	
-3.97963630E+000	-9.96577876E+001	
-3.95892299E+000	-9.99970228E+001	
-3.93820969E+000	-9.78663460E+001	
-3.91749638E+000	-1.00113297E+002	
-3.89678308E+000	-9.83997213E+001	
-3.87606977E+000	-9.98434648E+001	
-3.85535647E+000	-9.97585977E+001	
-3.83464316E+000	-9.85672270E+001	
-3.81392986E+000	-9.85887289E+001	
-3.79321655E+000	-9.89492697E+001	
-3.77250325E+000	-9.83563941E+001	
-3.75178994E+000	-9.86639399E+001	
-3.73107664E+000	-9.94119702E+001	
-3.71036333E+000	-9.95101127E+001	
-3.68965003E+000	-9.91655352E+001	
-3.66893672E+000	-9.88268625E+001	
-3.64822342E+000	-9.87192724E+001	
-3.62751011E+000	-9.84510006E+001	
-3.60679680E+000	-9.91433179E+001	
-3.58608350E+000	-9.84697105E+001	
-3.56537019E+000	-9.95979858E+001	
-3.54465689E+000	-9.88015311E+001	
-3.52394358E+000	-9.87010083E+001	
-3.50323028E+000	-9.99839567E+001	
-3.48251697E+000	-9.87268712E+001	
-3.46180367E+000	-9.84643832E+001	
-3.44109036E+000	-9.99558990E+001	
-3.42037706E+000	-9.96481099E+001	
-3.39966375E+000	-9.92714070E+001	
-3.37895045E+000	-9.83067503E+001	
-3.35823714E+000	-1.00144929E+002	
-3.33752384E+000	-9.93924018E+001	
-3.31681053E+000	-9.86128541E+001	
-3.29609722E+000	-9.93013679E+001	
-3.27538392E+000	-9.97791777E+001	
-3.25467061E+000	-9.92025305E+001	
-3.23395731E+000	-1.00383908E+002	
-3.21324400E+000	-9.97411670E+001	
-3.19253070E+000	-9.99564912E+001	
-3.17181739E+000	-9.98118691E+001	
-3.15110409E+000	-1.00568119E+002	
-3.13039078E+000	-9.83481484E+001	
-3.10967748E+000	-9.94568623E+001	
-3.08896417E+000	-9.88347023E+001	
-3.06825087E+000	-9.89413243E+001	
-3.04753756E+000	-9.87511769E+001	
-3.02682426E+000	-9.92295932E+001	
-3.00611095E+000	-9.91794810E+001	
-2.98539764E+000	-9.95665079E+001	
-2.96468434E+000	-9.80469077E+001	
-2.94397103E+000	-9.96532648E+001	
-2.92325773E+000	-9.95634811E+001	
-2.90254442E+000	-9.78464093E+001	
-2.88183112E+000	-9.95635026E+001	
-2.86111781E+000	-1.00213793E+002	
-2.84040451E+000	-9.93175322E+001	
-2.81969120E+000	-9.83939571E+001	
-2.79897790E+000	-9.93606172E+001	
-2.77826459E+000	-9.75617004E+001	
-2.75755129E+000	-9.97600985E+001	
-2.73683798E+000	-1.00093984E+002	
-2.71612468E+000	-9.94265135E+001	
-2.69541137E+000	-9.87223814E+001	
-2.67469807E+000	-9.87410796E+001	
-2.65398476E+000	-1.00950252E+002	
-2.63327145E+000	-9.91865854E+001	
-2.61255815E+000	-1.00857862E+002	
-2.59184484E+000	-9.90538237E+001	
-2.57113154E+000	-1.01671585E+002	
-2.55041823E+000	-9.99969214E+001	
-2.52970493E+000	-9.72406465E+001	
-2.50899162E+000	-1.00703202E+002	
-2.48827832E+000	-9.80731382E+001	
-2.46756501E+000	-9.83916967E+001	
-2.44685171E+000	-9.94700715E+001	
-2.42613840E+000	-9.99971552E+001	
-2.40542510E+000	-9.97226622E+001	
-2.38471179E+000	-9.77204280E+001	
-2.36399849E+000	-9.93920086E+001	
-2.34328518E+000	-9.99665376E+001	
-2.32257187E+000	-9.89173232E+001	
-2.30185857E+000	-9.88672542E+001	
-2.28114526E+000	-1.00741641E+002	
-2.26043196E+000	-9.84718209E+001	
-2.23971865E+000	-9.98845386E+001	
