Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
62   0.09298   -0.15015   -54.39481   0.54296   0.09298   -0.15015   -0.44133   0.88485   97.36023
63   0.09300   -0.15336   -54.58943   0.54257   0.09300   -0.15336   -0.44090   0.88443   97.41821
64   0.09301   -0.15397   -54.61554   0.54224   0.09301   -0.15397   -0.44136   0.88418   97.24121
65   0.09282   -0.15540   -54.71213   0.54230   0.09282   -0.15540   -0.44069   0.88415   97.35413
66   0.09280   -0.15638   -54.77168   0.54221   0.09280   -0.15638   -0.44053   0.88409   97.44263
67   0.09272   -0.15610   -54.79407   0.54324   0.09272   -0.15610   -0.43867   0.88504   97.37244
68   0.09282   -0.15604   -54.75854   0.54245   0.09282   -0.15604   -0.44023   0.88440   97.25647
69   0.09273   -0.15848   -54.94138   0.54304   0.09273   -0.15848   -0.43822   0.88485   97.44263
70   0.09269   -0.15632   -54.80645   0.54321   0.09269   -0.15632   -0.43867   0.88504   97.39075
71   0.09272   -0.15168   -54.50179   0.54314   0.09272   -0.15168   -0.44041   0.88495   97.34192
72   0.09267   -0.15058   -54.44089   0.54344   0.09267   -0.15058   -0.44026   0.88528   97.32971
73   0.09274   -0.14896   -54.33211   0.54335   0.09274   -0.14896   -0.44099   0.88522   97.29309
74   0.09276   -0.14582   -54.17034   0.54451   0.09276   -0.14582   -0.43986   0.88626   97.37244
75   0.09294   -0.14542   -54.13877   0.54435   0.09294   -0.14542   -0.44029   0.88610   97.26868
76   0.09289   -0.14408   -54.08287   0.54522   0.09289   -0.14408   -0.43910   0.88690   97.37549
77   0.09298   -0.14200   -53.96280   0.54565   0.09298   -0.14200   -0.43898   0.88730   97.32056
78   0.09305   -0.14252   -53.98700   0.54540   0.09305   -0.14252   -0.43931   0.88714   97.30225
79   0.09310   -0.14338   -54.03680   0.54521   0.09310   -0.14338   -0.43934   0.88690   97.34192
80   0.09306   -0.14350   -54.03637   0.54497   0.09306   -0.14350   -0.43974   0.88662   97.35107
81   0.09305   -0.14313   -54.02711   0.54540   0.09305   -0.14313   -0.43910   0.88711   97.29309
82   0.09314   -0.14463   -54.09750   0.54462   0.09314   -0.14463   -0.44002   0.88632   97.23511
83   0.09308   -0.14560   -54.15425   0.54445   0.09308   -0.14560   -0.44005   0.88620   97.30225
84   0.09291   -0.14823   -54.32363   0.54440   0.09291   -0.14823   -0.43925   0.88614   97.31750
85   0.09294   -0.14817   -54.31403   0.54427   0.09294   -0.14817   -0.43956   0.88610   97.30835
86   0.09281   -0.15043   -54.45881   0.54418   0.09281   -0.15043   -0.43892   0.88595   97.35413
87   0.09275   -0.15098   -54.49211   0.54411   0.09275   -0.15098   -0.43886   0.88589   97.37244
88   0.09279   -0.15400   -54.69868   0.54437   0.09279   -0.15400   -0.43736   0.88620   97.37244
89   0.09286   -0.15445   -54.71407   0.54399   0.09286   -0.15445   -0.43791   0.88583   97.31750
