Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
65   0.09329   -0.20997   61.10858   0.58302   0.09329   -0.20997   0.33320   0.91928   97.15271
66   0.09327   -0.21287   61.32806   0.58266   0.09327   -0.21287   0.33213   0.91900   97.16187
67   0.09340   -0.21744   61.67035   0.58202   0.09340   -0.21744   0.33052   0.91842   97.08557
68   0.09343   -0.21680   61.65949   0.58255   0.09343   -0.21680   0.32981   0.91888   97.07947
69   0.09338   -0.21891   61.84319   0.58257   0.09338   -0.21891   0.32841   0.91897   97.07642
70   0.09329   -0.21592   61.70221   0.58391   0.09329   -0.21592   0.32740   0.91995   97.17102
71   0.09321   -0.21488   61.65969   0.58446   0.09321   -0.21488   0.32688   0.92044   97.04285
72   0.09309   -0.21598   61.76009   0.58451   0.09309   -0.21598   0.32606   0.92047   97.03674
73   0.09306   -0.21766   61.90206   0.58445   0.09306   -0.21766   0.32508   0.92044   97.10693
74   0.09319   -0.21784   61.84503   0.58363   0.09319   -0.21784   0.32676   0.91977   97.03979
75   0.09310   -0.21809   61.79091   0.58278   0.09310   -0.21809   0.32847   0.91913   97.00012
76   0.09302   -0.21732   61.71167   0.58264   0.09302   -0.21732   0.32929   0.91903   97.01538
77   0.09303   -0.21760   61.62024   0.58131   0.09303   -0.21760   0.33201   0.91791   97.06421
78   0.09297   -0.21674   61.50972   0.58088   0.09297   -0.21674   0.33351   0.91754   97.07336
79   0.09292   -0.21589   61.44611   0.58099   0.09292   -0.21589   0.33381   0.91763   97.10083
80   0.09296   -0.21638   61.42318   0.58025   0.09296   -0.21638   0.33515   0.91714   97.16187
81   0.09313   -0.21775   61.53453   0.58017   0.09313   -0.21775   0.33442   0.91702   97.00928
82   0.09315   -0.21824   61.53879   0.57975   0.09315   -0.21824   0.33506   0.91675   97.13745
83   0.09315   -0.21891   61.58862   0.57965   0.09315   -0.21891   0.33482   0.91662   97.18628
84   0.09335   -0.21876   61.55440   0.57940   0.09335   -0.21876   0.33546   0.91644   97.15271
85   0.09323   -0.21885   61.57660   0.57956   0.09323   -0.21885   0.33503   0.91653   97.04285
86   0.09325   -0.21931   61.70017   0.58055   0.09325   -0.21931   0.33259   0.91736   97.10083
87   0.09321   -0.21900   61.73148   0.58122   0.09321   -0.21900   0.33134   0.91794   97.09167
88   0.09329   -0.21891   61.75270   0.58154   0.09329   -0.21891   0.33067   0.91815   97.02454
89   0.09333   -0.21982   61.90950   0.58241   0.09333   -0.21982   0.32814   0.91885   96.99707
90   0.09330   -0.22034   62.06360   0.58361   0.09330   -0.22034   0.32511   0.91977   97.08252
91   0.09333   -0.22272   62.24579   0.58331   0.09333   -0.22272   0.32417   0.91955   97.12524
92   0.09333   -0.22217   62.20524   0.58340   0.09333   -0.22217   0.32435   0.91961   97.00623
93   0.09314   -0.22306   62.39524   0.58461   0.09314   -0.22306   0.32105   0.92062   96.95129
94   0.09300   -0.22312   62.35181   0.58409   0.09300   -0.22312   0.32218   0.92019   97.10388
95   0.09311   -0.22303   62.36029   0.58426   0.09311   -0.22303   0.32185   0.92029   97.00012
96   0.09307   -0.22343   62.31186   0.58335   0.09307   -0.22343   0.32359   0.91955   97.05811
97   0.09309   -0.22208   62.22490   0.58371   0.09309   -0.22208   0.32374   0.91992   97.00928
98   0.09308   -0.22324   62.13557   0.58160   0.09308   -0.22324   0.32762   0.91818   97.04895
99   0.09302   -0.22355   62.08446   0.58074   0.09302   -0.22355   0.32933   0.91751   97.04590
100   0.09303   -0.22193   61.98669   0.58122   0.09303   -0.22193   0.32936   0.91787   97.11609
101   0.09304   -0.22312   61.97920   0.57998   0.09304   -0.22312   0.33131   0.91690   97.10388
102   0.09308   -0.22266   61.87650   0.57927   0.09308   -0.22266   0.33320   0.91641   97.06726
103   0.09315   -0.22172   61.81656   0.57952   0.09315   -0.22172   0.33329   0.91659   97.07947
104   0.09331   -0.22282   61.80948   0.57833   0.09331   -0.22282   0.33512   0.91556   97.20154
105   0.09343   -0.22214   61.76844   0.57853   0.09343   -0.22214   0.33515   0.91577   97.06726
106   0.09344   -0.22184   61.77074   0.57885   0.09344   -0.22184   0.33464   0.91598   97.06726
107   0.09326   -0.22059   61.65786   0.57879   0.09326   -0.22059   0.33561   0.91598   97.10083
108   0.09325   -0.22156   61.71480   0.57849   0.09325   -0.22156   0.33564   0.91577   97.09167
109   0.09342   -0.22105   61.76807   0.57960   0.09342   -0.22105   0.33351   0.91656   97.04895
110   0.09346   -0.22260   61.85955   0.57913   0.09346   -0.22260   0.33354   0.91623   96.97266
111   0.09333   -0.22111   61.77775   0.57964   0.09333   -0.22111   0.33335   0.91656   97.17407
112   0.09333   -0.22187   61.87661   0.58004   0.09333   -0.22187   0.33201   0.91696   97.13440
113   0.09331   -0.22373   62.02650   0.57992   0.09331   -0.22373   0.33103   0.91690   97.06421
114   0.09312   -0.22324   62.04287   0.58056   0.09312   -0.22324   0.32991   0.91729   97.09778
115   0.09300   -0.22373   62.13369   0.58111   0.09300   -0.22373   0.32838   0.91778   97.13440
116   0.09312   -0.22504   62.22043   0.58080   0.09312   -0.22504   0.32817   0.91754   97.04895
117   0.09306   -0.22394   62.17869   0.58138   0.09306   -0.22394   0.32759   0.91794   97.06726
118   0.09294   -0.22318   62.10217   0.58129   0.09294   -0.22318   0.32835   0.91794   97.04285
119   0.09299   -0.22422   62.13428   0.58063   0.09299   -0.22422   0.32908   0.91736   97.16187
120   0.09294   -0.22498   62.21680   0.58082   0.09294   -0.22498   0.32817   0.91754   97.03369
121   0.09289   -0.22489   62.14698   0.58015   0.09289   -0.22489   0.32975   0.91708   97.10083
122   0.09292   -0.22547   62.13942   0.57949   0.09292   -0.22547   0.33079   0.91650   97.18933
123   0.09302   -0.22440   62.04307   0.57945   0.09302   -0.22440   0.33161   0.91647   97.08557
124   0.09310   -0.22526   62.07650   0.57899   0.09310   -0.22526   0.33204   0.91610   97.06726
125   0.09316   -0.22498   61.99324   0.57831   0.09316   -0.22498   0.33372   0.91552   97.11914
126   0.09328   -0.22623   62.06575   0.57792   0.09328   -0.22623   0.33375   0.91525   97.11304
127   0.09334   -0.22443   61.94746   0.57831   0.09334   -0.22443   0.33406   0.91549   97.10388
128   0.09334   -0.22510   61.97256   0.57795   0.09334   -0.22510   0.33442   0.91525   97.08557
129   0.09332   -0.22541   62.02088   0.57821   0.09332   -0.22541   0.33366   0.91546   97.19238
130   0.09343   -0.22373   61.89869   0.57846   0.09343   -0.22373   0.33424   0.91568   97.10693
131   0.09344   -0.22498   61.99689   0.57835   0.09344   -0.22498   0.33363   0.91559   97.07947
132   0.09334   -0.22633   62.10160   0.57824   0.09334   -0.22633   0.33299   0.91552   97.16492
133   0.09337   -0.22633   62.10405   0.57828   0.09337   -0.22633   0.33293   0.91559   97.09473
134   0.09324   -0.22617   62.08043   0.57813   0.09324   -0.22617   0.33329   0.91537   97.07336
135   0.09315   -0.22672   62.18006   0.57873   0.09315   -0.22672   0.33161   0.91589   97.03979
136   0.09310   -0.22654   62.15210   0.57859   0.09310   -0.22654   0.33204   0.91574   97.05811
137   0.09318   -0.22703   62.19310   0.57860   0.09318   -0.22703   0.33174   0.91586   97.02148
138   0.09312   -0.22770   62.27074   0.57880   0.09312   -0.22770   0.33079   0.91595   97.06726
139   0.09297   -0.22806   62.29472   0.57871   0.09297   -0.22806   0.33073   0.91586   97.11304
140   0.09301   -0.22874   62.33163   0.57850   0.09301   -0.22874   0.33079   0.91577   97.12524
