second,Volt,Volt
-100.0000E-03,+4.5130625E+00,+310.9156E-03
-99.8000E-03,+4.5013437E+00,+317.9469E-03
-99.6000E-03,+4.4857187E+00,+324.5875E-03
-99.4000E-03,+4.4740000E+00,+331.2281E-03
-99.2000E-03,+4.4622812E+00,+337.4781E-03
-99.0000E-03,+4.4466562E+00,+343.3375E-03
-98.8000E-03,+4.4310312E+00,+348.8063E-03
-98.6000E-03,+4.4154062E+00,+354.6656E-03
-98.4000E-03,+4.3958750E+00,+359.7438E-03
-98.2000E-03,+4.3763437E+00,+364.8219E-03
-98.0000E-03,+4.3568125E+00,+369.5094E-03
-97.8000E-03,+4.3333750E+00,+374.1969E-03
-97.6000E-03,+4.3099375E+00,+378.8844E-03
-97.4000E-03,+4.2865000E+00,+382.7906E-03
-97.2000E-03,+4.2630625E+00,+386.3063E-03
-97.0000E-03,+4.2396250E+00,+389.8219E-03
-96.8000E-03,+4.2083750E+00,+392.5563E-03
-96.6000E-03,+4.1810312E+00,+395.6813E-03
-96.4000E-03,+4.1536875E+00,+398.0250E-03
-96.2000E-03,+4.1263437E+00,+401.1500E-03
-96.0000E-03,+4.0990000E+00,+403.4938E-03
-95.8000E-03,+4.0677500E+00,+405.4469E-03
-95.6000E-03,+4.0404062E+00,+407.4000E-03
-95.4000E-03,+4.0091562E+00,+409.3531E-03
-95.2000E-03,+3.9740000E+00,+410.9156E-03
-95.0000E-03,+3.9388437E+00,+412.0875E-03
-94.8000E-03,+3.9075937E+00,+412.8688E-03
-94.6000E-03,+3.8724375E+00,+413.6500E-03
-94.4000E-03,+3.8411875E+00,+413.6500E-03
-94.2000E-03,+3.8060312E+00,+413.2594E-03
-94.0000E-03,+3.7708750E+00,+412.4781E-03
-93.8000E-03,+3.7318125E+00,+412.0875E-03
-93.6000E-03,+3.6927500E+00,+410.5250E-03
-93.4000E-03,+3.6536875E+00,+408.9625E-03
-93.2000E-03,+3.6185312E+00,+407.0094E-03
-93.0000E-03,+3.5794687E+00,+404.6656E-03
-92.8000E-03,+3.5365000E+00,+402.3219E-03
-92.6000E-03,+3.4935312E+00,+399.5875E-03
-92.4000E-03,+3.4505625E+00,+396.4625E-03
-92.2000E-03,+3.4115000E+00,+393.7281E-03
-92.0000E-03,+3.3724375E+00,+390.2125E-03
-91.8000E-03,+3.3294687E+00,+386.3063E-03
-91.6000E-03,+3.2904062E+00,+382.4000E-03
-91.4000E-03,+3.2513437E+00,+378.1031E-03
-91.2000E-03,+3.2083750E+00,+373.4156E-03
-91.0000E-03,+3.1615000E+00,+368.3375E-03
-90.8000E-03,+3.1224375E+00,+363.6500E-03
-90.6000E-03,+3.0794687E+00,+358.5719E-03
-90.4000E-03,+3.0365000E+00,+353.1031E-03
-90.2000E-03,+2.9935312E+00,+346.8531E-03
-90.0000E-03,+2.9505625E+00,+340.9938E-03
-89.8000E-03,+2.9075937E+00,+335.5250E-03
-89.6000E-03,+2.8646250E+00,+329.2750E-03
-89.4000E-03,+2.8177500E+00,+322.6344E-03
-89.2000E-03,+2.7747812E+00,+316.3844E-03
-89.0000E-03,+2.7318125E+00,+309.7438E-03
-88.8000E-03,+2.6810312E+00,+303.1031E-03
-88.6000E-03,+2.6380625E+00,+296.0719E-03
-88.4000E-03,+2.5950937E+00,+289.0406E-03
-88.2000E-03,+2.5443125E+00,+281.6188E-03
