second,Volt,Volt
-77.4000E-03,+1.9154062E+00,+231.6188E-03
-77.2000E-03,+1.8763437E+00,+222.6344E-03
-77.0000E-03,+1.8372812E+00,+213.2594E-03
-76.8000E-03,+1.7982187E+00,+205.0563E-03
-76.6000E-03,+1.7630625E+00,+196.4625E-03
-76.4000E-03,+1.7240000E+00,+187.4781E-03
-76.2000E-03,+1.6849375E+00,+178.4938E-03
-76.0000E-03,+1.6497812E+00,+169.1188E-03
-75.8000E-03,+1.6107187E+00,+160.1344E-03
-75.6000E-03,+1.5755625E+00,+150.7594E-03
-75.4000E-03,+1.5404062E+00,+140.9938E-03
-75.2000E-03,+1.5091562E+00,+131.6188E-03
-75.0000E-03,+1.4779062E+00,+121.8531E-03
-74.8000E-03,+1.4466562E+00,+112.8688E-03
-74.6000E-03,+1.4115000E+00,+103.8844E-03
-74.4000E-03,+1.3841562E+00,+94.9000E-03
-74.2000E-03,+1.3529062E+00,+85.9156E-03
-74.0000E-03,+1.3255625E+00,+77.7125E-03
-73.8000E-03,+1.2943125E+00,+69.1188E-03
-73.6000E-03,+1.2669687E+00,+59.7438E-03
-73.4000E-03,+1.2396250E+00,+50.7594E-03
-73.2000E-03,+1.2161875E+00,+41.7750E-03
-73.0000E-03,+1.1927500E+00,+32.4000E-03
-72.8000E-03,+1.1693125E+00,+23.4156E-03
-72.6000E-03,+1.1458750E+00,+14.8219E-03
-72.4000E-03,+1.1224375E+00,+5.8375E-03
-72.2000E-03,+1.1029062E+00,-3.5375E-03
-72.0000E-03,+1.0872812E+00,-13.3031E-03
-71.8000E-03,+1.0716562E+00,-22.6781E-03
-71.6000E-03,+1.0521250E+00,-30.8813E-03
-71.4000E-03,+1.0365000E+00,-39.0844E-03
-71.2000E-03,+1.0208750E+00,-47.6781E-03
-71.0000E-03,+1.0052500E+00,-56.6625E-03
-70.8000E-03,+989.6250E-03,-65.6469E-03
-70.6000E-03,+974.0000E-03,-73.8500E-03
-70.4000E-03,+966.1875E-03,-82.4438E-03
-70.2000E-03,+954.4687E-03,-91.8188E-03
-70.0000E-03,+942.7500E-03,-100.0219E-03
-69.8000E-03,+931.0312E-03,-108.6156E-03
-69.6000E-03,+919.3125E-03,-116.8188E-03
-69.4000E-03,+911.5000E-03,-125.4125E-03
-69.2000E-03,+903.6875E-03,-132.8344E-03
-69.0000E-03,+899.7812E-03,-141.4281E-03
-68.8000E-03,+891.9687E-03,-150.0219E-03
-68.6000E-03,+891.9687E-03,-157.8344E-03
-68.4000E-03,+888.0625E-03,-165.6469E-03
-68.2000E-03,+888.0625E-03,-173.8500E-03
-68.0000E-03,+884.1562E-03,-181.6625E-03
-67.8000E-03,+884.1562E-03,-188.6938E-03
-67.6000E-03,+888.0625E-03,-196.8969E-03
-67.4000E-03,+888.0625E-03,-204.7094E-03
-67.2000E-03,+891.9687E-03,-212.1313E-03
-67.0000E-03,+899.7812E-03,-219.5531E-03
-66.8000E-03,+903.6875E-03,-226.5844E-03
-66.6000E-03,+911.5000E-03,-233.6156E-03
-66.4000E-03,+919.3125E-03,-240.6469E-03
-66.2000E-03,+927.1250E-03,-247.2875E-03
-66.0000E-03,+938.8437E-03,-254.7094E-03
-65.8000E-03,+950.5625E-03,-261.7406E-03
-65.6000E-03,+958.3750E-03,-268.7719E-03
-65.4000E-03,+970.0937E-03,-275.4125E-03
-65.2000E-03,+981.8125E-03,-281.6625E-03
-65.0000E-03,+997.4375E-03,-288.3031E-03
-64.8000E-03,+1.0130625E+00,-294.1625E-03
-64.6000E-03,+1.0286875E+00,-300.0219E-03
-64.4000E-03,+1.0443125E+00,-305.4906E-03
-64.2000E-03,+1.0638437E+00,-310.9594E-03
-64.0000E-03,+1.0794687E+00,-316.0375E-03
-63.8000E-03,+1.0990000E+00,-321.5063E-03
-63.6000E-03,+1.1185312E+00,-326.1938E-03
-63.4000E-03,+1.1380625E+00,-331.2719E-03
-63.2000E-03,+1.1615000E+00,-335.5688E-03
-63.0000E-03,+1.1849375E+00,-340.2563E-03
-62.8000E-03,+1.2083750E+00,-344.9438E-03
-62.6000E-03,+1.2318125E+00,-348.8500E-03
-62.4000E-03,+1.2552500E+00,-353.5375E-03
-62.2000E-03,+1.2825937E+00,-357.4438E-03
-62.0000E-03,+1.3177500E+00,-361.3500E-03
-61.8000E-03,+1.3450937E+00,-364.4750E-03
-61.6000E-03,+1.3724375E+00,-367.6000E-03
-61.4000E-03,+1.4036875E+00,-370.7250E-03
-61.2000E-03,+1.4349375E+00,-373.4594E-03
-61.0000E-03,+1.4661875E+00,-375.8031E-03
-60.8000E-03,+1.4974375E+00,-378.5375E-03
-60.6000E-03,+1.5325937E+00,-380.4906E-03
-60.4000E-03,+1.5638437E+00,-382.4438E-03
-60.2000E-03,+1.5990000E+00,-384.0063E-03
-60.0000E-03,+1.6380625E+00,-385.5688E-03
-59.8000E-03,+1.6732187E+00,-386.3500E-03
-59.6000E-03,+1.7083750E+00,-387.1313E-03
-59.4000E-03,+1.7474375E+00,-387.9125E-03
-59.2000E-03,+1.7865000E+00,-387.9125E-03
-59.0000E-03,+1.8216562E+00,-387.9125E-03
-58.8000E-03,+1.8607187E+00,-387.5219E-03
-58.6000E-03,+1.9036875E+00,-387.1313E-03
-58.4000E-03,+1.9388437E+00,-385.9594E-03
-58.2000E-03,+1.9779062E+00,-384.0063E-03
-58.0000E-03,+2.0169687E+00,-382.0531E-03
-57.8000E-03,+2.0560312E+00,-380.4906E-03
-57.6000E-03,+2.0950937E+00,-378.1469E-03
-57.4000E-03,+2.1380625E+00,-375.8031E-03
-57.2000E-03,+2.1810312E+00,-373.4594E-03
-57.0000E-03,+2.2240000E+00,-371.1156E-03
-56.8000E-03,+2.2669687E+00,-367.6000E-03
-56.6000E-03,+2.3099375E+00,-364.8656E-03
-56.4000E-03,+2.3490000E+00,-361.3500E-03
-56.2000E-03,+2.3880625E+00,-357.4438E-03
-56.0000E-03,+2.4310312E+00,-353.1469E-03
-55.8000E-03,+2.4740000E+00,-348.8500E-03
-55.6000E-03,+2.5130625E+00,-344.1625E-03
-55.4000E-03,+2.5599375E+00,-339.8656E-03
-55.2000E-03,+2.6029062E+00,-334.3969E-03
-55.0000E-03,+2.6419687E+00,-329.3188E-03
-54.8000E-03,+2.6849375E+00,-324.2406E-03
-54.6000E-03,+2.7279062E+00,-318.3813E-03
-54.4000E-03,+2.7708750E+00,-313.3031E-03
-54.2000E-03,+2.8060312E+00,-307.0531E-03
-54.0000E-03,+2.8490000E+00,-301.5844E-03
-53.8000E-03,+2.8919687E+00,-294.9438E-03
-53.6000E-03,+2.9310312E+00,-288.3031E-03
-53.4000E-03,+2.9661875E+00,-281.2719E-03
-53.2000E-03,+3.0091562E+00,-274.6313E-03
-53.0000E-03,+3.0482187E+00,-266.8188E-03
-52.8000E-03,+3.0833750E+00,-259.7875E-03
-52.6000E-03,+3.1224375E+00,-252.3656E-03
-52.4000E-03,+3.1615000E+00,-244.1625E-03
-52.2000E-03,+3.2005625E+00,-237.1313E-03
-52.0000E-03,+3.2396250E+00,-229.3188E-03
-51.8000E-03,+3.2747812E+00,-221.5063E-03
-51.6000E-03,+3.3099375E+00,-213.6938E-03
-51.4000E-03,+3.3450937E+00,-206.2719E-03
-51.2000E-03,+3.3841562E+00,-197.6781E-03
-51.0000E-03,+3.4193125E+00,-189.0844E-03
-50.8000E-03,+3.4505625E+00,-181.2719E-03
-50.6000E-03,+3.4857187E+00,-172.2875E-03
-50.4000E-03,+3.5247812E+00,-163.3031E-03
-50.2000E-03,+3.5599375E+00,-155.1000E-03
-50.0000E-03,+3.5950937E+00,-145.7250E-03
