second,Volt,Volt
-77.0000E-03,-1.2750000E+00,-302.5000E-03
-76.8000E-03,-1.3375000E+00,-308.7500E-03
-76.6000E-03,-1.2750000E+00,-315.0000E-03
-76.4000E-03,-1.2125000E+00,-321.2500E-03
-76.2000E-03,-1.2125000E+00,-333.7500E-03
-76.0000E-03,-1.2125000E+00,-333.7500E-03
-75.8000E-03,-1.2125000E+00,-340.0000E-03
-75.6000E-03,-1.1500000E+00,-346.2500E-03
-75.4000E-03,-1.1500000E+00,-346.2500E-03
-75.2000E-03,-1.1500000E+00,-352.5000E-03
-75.0000E-03,-1.0875000E+00,-358.7500E-03
-74.8000E-03,-1.0250000E+00,-358.7500E-03
-74.6000E-03,-1.0875000E+00,-358.7500E-03
-74.4000E-03,-1.0250000E+00,-352.5000E-03
-74.2000E-03,-962.5000E-03,-365.0000E-03
-74.0000E-03,-900.0000E-03,-365.0000E-03
-73.8000E-03,-900.0000E-03,-371.2500E-03
-73.6000E-03,-962.5000E-03,-365.0000E-03
-73.4000E-03,-900.0000E-03,-377.5000E-03
-73.2000E-03,-900.0000E-03,-377.5000E-03
-73.0000E-03,-900.0000E-03,-383.7500E-03
-72.8000E-03,-775.0000E-03,-383.7500E-03
-72.6000E-03,-712.5000E-03,-383.7500E-03
-72.4000E-03,-712.5000E-03,-383.7500E-03
-72.2000E-03,-650.0000E-03,-383.7500E-03
-72.0000E-03,-650.0000E-03,-383.7500E-03
-71.8000E-03,-587.5000E-03,-383.7500E-03
-71.6000E-03,-525.0000E-03,-383.7500E-03
-71.4000E-03,-525.0000E-03,-383.7500E-03
-71.2000E-03,-525.0000E-03,-377.5000E-03
-71.0000E-03,-525.0000E-03,-383.7500E-03
-70.8000E-03,-462.5000E-03,-377.5000E-03
-70.6000E-03,-400.0000E-03,-377.5000E-03
-70.4000E-03,-400.0000E-03,-377.5000E-03
-70.2000E-03,-337.5000E-03,-371.2500E-03
-70.0000E-03,-275.0000E-03,-371.2500E-03
-69.8000E-03,-212.5000E-03,-365.0000E-03
-69.6000E-03,-212.5000E-03,-358.7500E-03
-69.4000E-03,-150.0000E-03,-358.7500E-03
-69.2000E-03,-150.0000E-03,-352.5000E-03
-69.0000E-03,-25.0000E-03,-358.7500E-03
-68.8000E-03,+37.5000E-03,-352.5000E-03
-68.6000E-03,+37.5000E-03,-340.0000E-03
-68.4000E-03,+100.0000E-03,-327.5000E-03
-68.2000E-03,+100.0000E-03,-340.0000E-03
-68.0000E-03,+225.0000E-03,-333.7500E-03
-67.8000E-03,+225.0000E-03,-333.7500E-03
-67.6000E-03,+225.0000E-03,-327.5000E-03
-67.4000E-03,+350.0000E-03,-321.2500E-03
-67.2000E-03,+412.5000E-03,-315.0000E-03
-67.0000E-03,+350.0000E-03,-308.7500E-03
-66.8000E-03,+412.5000E-03,-296.2500E-03
-66.6000E-03,+537.5000E-03,-296.2500E-03
-66.4000E-03,+537.5000E-03,-290.0000E-03
-66.2000E-03,+600.0000E-03,-290.0000E-03
