second,Volt,Volt
-77.2000E-03,+574.5001E-03,+192.5000E-03
-77.0000E-03,+543.2501E-03,+186.2500E-03
-76.8000E-03,+512.0001E-03,+180.0000E-03
-76.6000E-03,+480.7501E-03,+176.8750E-03
-76.4000E-03,+449.5001E-03,+164.3750E-03
-76.2000E-03,+418.2501E-03,+158.1250E-03
-76.0000E-03,+324.5001E-03,+148.7500E-03
-75.8000E-03,+293.2501E-03,+139.3750E-03
-75.6000E-03,+293.2501E-03,+133.1250E-03
-75.4000E-03,+293.2501E-03,+123.7500E-03
-75.2000E-03,+262.0001E-03,+117.5000E-03
-75.0000E-03,+199.5001E-03,+111.2500E-03
-74.8000E-03,+168.2501E-03,+98.7500E-03
-74.6000E-03,+105.7501E-03,+92.5000E-03
-74.4000E-03,+74.5001E-03,+86.2500E-03
-74.2000E-03,+43.2501E-03,+76.8750E-03
-74.0000E-03,+43.2501E-03,+70.6250E-03
-73.8000E-03,+12.0001E-03,+64.3750E-03
-73.6000E-03,-50.4999E-03,+51.8750E-03
-73.4000E-03,-19.2499E-03,+45.6250E-03
-73.2000E-03,-144.2499E-03,+39.3750E-03
-73.0000E-03,-175.4999E-03,+33.1250E-03
-72.8000E-03,-175.4999E-03,+26.8750E-03
-72.6000E-03,-206.7499E-03,+17.5000E-03
-72.4000E-03,-237.9999E-03,+14.3750E-03
-72.2000E-03,-269.2499E-03,+5.0000E-03
-72.0000E-03,-269.2499E-03,-7.5000E-03
-71.8000E-03,-331.7499E-03,-10.6250E-03
-71.6000E-03,-300.4999E-03,-23.1250E-03
-71.4000E-03,-331.7499E-03,-29.3750E-03
-71.2000E-03,-394.2499E-03,-32.5000E-03
-71.0000E-03,-394.2499E-03,-38.7500E-03
-70.8000E-03,-425.4999E-03,-51.2500E-03
-70.6000E-03,-394.2499E-03,-54.3750E-03
-70.4000E-03,-425.4999E-03,-63.7500E-03
-70.2000E-03,-456.7499E-03,-70.0000E-03
-70.0000E-03,-456.7499E-03,-76.2500E-03
-69.8000E-03,-519.2499E-03,-88.7500E-03
-69.6000E-03,-487.9999E-03,-91.8750E-03
-69.4000E-03,-519.2499E-03,-101.2500E-03
-69.2000E-03,-519.2499E-03,-104.3750E-03
-69.0000E-03,-519.2499E-03,-113.7500E-03
-68.8000E-03,-550.4999E-03,-116.8750E-03
-68.6000E-03,-581.7499E-03,-126.2500E-03
-68.4000E-03,-581.7499E-03,-132.5000E-03
-68.2000E-03,-581.7499E-03,-138.7500E-03
-68.0000E-03,-581.7499E-03,-145.0000E-03
-67.8000E-03,-581.7499E-03,-154.3750E-03
-67.6000E-03,-581.7499E-03,-157.5000E-03
-67.4000E-03,-581.7499E-03,-163.7500E-03
-67.2000E-03,-612.9999E-03,-173.1250E-03
-67.0000E-03,-612.9999E-03,-176.2500E-03
-66.8000E-03,-612.9999E-03,-179.3750E-03
-66.6000E-03,-612.9999E-03,-191.8750E-03
-66.4000E-03,-612.9999E-03,-198.1250E-03
-66.2000E-03,-612.9999E-03,-201.2500E-03
-66.0000E-03,-644.2499E-03,-207.5000E-03
-65.8000E-03,-581.7499E-03,-216.8750E-03
-65.6000E-03,-581.7499E-03,-220.0000E-03
-65.4000E-03,-581.7499E-03,-226.2500E-03
-65.2000E-03,-581.7499E-03,-229.3750E-03
-65.0000E-03,-581.7499E-03,-235.6250E-03
-64.8000E-03,-581.7499E-03,-238.7500E-03
-64.6000E-03,-581.7499E-03,-245.0000E-03
-64.4000E-03,-550.4999E-03,-251.2500E-03
-64.2000E-03,-581.7499E-03,-257.5000E-03
-64.0000E-03,-550.4999E-03,-263.7500E-03
-63.8000E-03,-581.7499E-03,-266.8750E-03
-63.6000E-03,-487.9999E-03,-270.0000E-03
-63.4000E-03,-519.2499E-03,-276.2500E-03
-63.2000E-03,-487.9999E-03,-282.5000E-03
-63.0000E-03,-456.7499E-03,-285.6250E-03
-62.8000E-03,-425.4999E-03,-288.7500E-03
-62.6000E-03,-456.7499E-03,-288.7500E-03
-62.4000E-03,-425.4999E-03,-298.1250E-03
-62.2000E-03,-425.4999E-03,-298.1250E-03
-62.0000E-03,-394.2499E-03,-304.3750E-03
-61.8000E-03,-362.9999E-03,-304.3750E-03
-61.6000E-03,-331.7499E-03,-313.7500E-03
-61.4000E-03,-331.7499E-03,-313.7500E-03
-61.2000E-03,-300.4999E-03,-313.7500E-03
-61.0000E-03,-269.2499E-03,-320.0000E-03
-60.8000E-03,-237.9999E-03,-323.1250E-03
-60.6000E-03,-206.7499E-03,-323.1250E-03
-60.4000E-03,-206.7499E-03,-326.2500E-03
-60.2000E-03,-175.4999E-03,-326.2500E-03
-60.0000E-03,-112.9999E-03,-326.2500E-03
-59.8000E-03,-112.9999E-03,-332.5000E-03
-59.6000E-03,-81.7499E-03,-332.5000E-03
-59.4000E-03,-50.4999E-03,-332.5000E-03
-59.2000E-03,-19.2499E-03,-332.5000E-03
-59.0000E-03,+12.0001E-03,-345.0000E-03
-58.8000E-03,+43.2501E-03,-332.5000E-03
-58.6000E-03,+74.5001E-03,-335.6250E-03
-58.4000E-03,+105.7501E-03,-341.8750E-03
-58.2000E-03,+168.2501E-03,-332.5000E-03
-58.0000E-03,+137.0001E-03,-335.6250E-03
-57.8000E-03,+199.5001E-03,-332.5000E-03
-57.6000E-03,+230.7501E-03,-335.6250E-03
-57.4000E-03,+262.0001E-03,-332.5000E-03
-57.2000E-03,+293.2501E-03,-335.6250E-03
-57.0000E-03,+387.0001E-03,-326.2500E-03
-56.8000E-03,+387.0001E-03,-332.5000E-03
-56.6000E-03,+449.5001E-03,-326.2500E-03
-56.4000E-03,+480.7501E-03,-326.2500E-03
-56.2000E-03,+480.7501E-03,-323.1250E-03
-56.0000E-03,+543.2501E-03,-323.1250E-03
-55.8000E-03,+574.5001E-03,-320.0000E-03
-55.6000E-03,+637.0001E-03,-320.0000E-03
-55.4000E-03,+605.7501E-03,-310.6250E-03
-55.2000E-03,+699.5001E-03,-307.5000E-03
-55.0000E-03,+730.7501E-03,-307.5000E-03
-54.8000E-03,+762.0001E-03,-304.3750E-03
-54.6000E-03,+793.2501E-03,-295.0000E-03
-54.4000E-03,+824.5001E-03,-291.8750E-03
-54.2000E-03,+887.0001E-03,-295.0000E-03
-54.0000E-03,+980.7501E-03,-288.7500E-03
-53.8000E-03,+949.5001E-03,-279.3750E-03
-53.6000E-03,+1.0120001E+00,-279.3750E-03
-53.4000E-03,+1.0432501E+00,-273.1250E-03
-53.2000E-03,+1.1057501E+00,-270.0000E-03
-53.0000E-03,+1.1370001E+00,-263.7500E-03
-52.8000E-03,+1.1995001E+00,-257.5000E-03
-52.6000E-03,+1.1995001E+00,-257.5000E-03
-52.4000E-03,+1.2620001E+00,-248.1250E-03
-52.2000E-03,+1.3245001E+00,-238.7500E-03
-52.0000E-03,+1.3557501E+00,-232.5000E-03
-51.8000E-03,+1.3557501E+00,-232.5000E-03
-51.6000E-03,+1.4182501E+00,-223.1250E-03
-51.4000E-03,+1.5120001E+00,-213.7500E-03
-51.2000E-03,+1.5432501E+00,-213.7500E-03
-51.0000E-03,+1.5432501E+00,-204.3750E-03
-50.8000E-03,+1.6057501E+00,-198.1250E-03
-50.6000E-03,+1.6057501E+00,-195.0000E-03
-50.4000E-03,+1.6682501E+00,-185.6250E-03
-50.2000E-03,+1.6995001E+00,-179.3750E-03
-50.0000E-03,+1.7307501E+00,-173.1250E-03
-49.8000E-03,+1.7932501E+00,-166.8750E-03
-49.6000E-03,+1.7932501E+00,-157.5000E-03
-49.4000E-03,+1.8557501E+00,-151.2500E-03
-49.2000E-03,+1.8557501E+00,-141.8750E-03
-49.0000E-03,+1.9182501E+00,-135.6250E-03
-48.8000E-03,+1.9182501E+00,-129.3750E-03
-48.6000E-03,+2.0120001E+00,-120.0000E-03
-48.4000E-03,+2.0432501E+00,-113.7500E-03
-48.2000E-03,+2.0745001E+00,-110.6250E-03
-48.0000E-03,+2.0745001E+00,-101.2500E-03
-47.8000E-03,+2.1057501E+00,-91.8750E-03
-47.6000E-03,+2.0745001E+00,-85.6250E-03
-47.4000E-03,+2.1682501E+00,-79.3750E-03
-47.2000E-03,+2.1995001E+00,-70.0000E-03
-47.0000E-03,+2.2307501E+00,-60.6250E-03
-46.8000E-03,+2.2307501E+00,-54.3750E-03
-46.6000E-03,+2.2932501E+00,-45.0000E-03
-46.4000E-03,+2.2932501E+00,-35.6250E-03
-46.2000E-03,+2.3557501E+00,-26.2500E-03
-46.0000E-03,+2.3557501E+00,-23.1250E-03
-45.8000E-03,+2.4182501E+00,-10.6250E-03
-45.6000E-03,+2.4182501E+00,-7.5000E-03
-45.4000E-03,+2.4495001E+00,+5.0000E-03
-45.2000E-03,+2.4495001E+00,+8.1250E-03
-45.0000E-03,+2.4807501E+00,+14.3750E-03
-44.8000E-03,+2.5120001E+00,+26.8750E-03
-44.6000E-03,+2.5432501E+00,+30.0000E-03
-44.4000E-03,+2.5432501E+00,+42.5000E-03
-44.2000E-03,+2.6057501E+00,+48.7500E-03
-44.0000E-03,+2.6057501E+00,+58.1250E-03
-43.8000E-03,+2.6057501E+00,+64.3750E-03
-43.6000E-03,+2.6057501E+00,+73.7500E-03
-43.4000E-03,+2.6370001E+00,+86.2500E-03
-43.2000E-03,+2.6370001E+00,+92.5000E-03
-43.0000E-03,+2.6682501E+00,+98.7500E-03
-42.8000E-03,+2.6682501E+00,+105.0000E-03
-42.6000E-03,+2.6682501E+00,+114.3750E-03
-42.4000E-03,+2.6995001E+00,+120.6250E-03
-42.2000E-03,+2.7620001E+00,+130.0000E-03
-42.0000E-03,+2.6995001E+00,+139.3750E-03
-41.8000E-03,+2.7307501E+00,+145.6250E-03
-41.6000E-03,+2.6995001E+00,+155.0000E-03
-41.4000E-03,+2.7620001E+00,+161.2500E-03
-41.2000E-03,+2.7307501E+00,+164.3750E-03
-41.0000E-03,+2.7620001E+00,+176.8750E-03
-40.8000E-03,+2.7932501E+00,+183.1250E-03
-40.6000E-03,+2.7620001E+00,+189.3750E-03
-40.4000E-03,+2.7620001E+00,+195.6250E-03
-40.2000E-03,+2.7620001E+00,+205.0000E-03
-40.0000E-03,+2.7932501E+00,+211.2500E-03
-39.8000E-03,+2.7932501E+00,+217.5000E-03
-39.6000E-03,+2.7620001E+00,+226.8750E-03
-39.4000E-03,+2.7620001E+00,+230.0000E-03
-39.2000E-03,+2.7620001E+00,+239.3750E-03
-39.0000E-03,+2.7620001E+00,+248.7500E-03
-38.8000E-03,+2.7307501E+00,+255.0000E-03
-38.6000E-03,+2.7307501E+00,+258.1250E-03
-38.4000E-03,+2.7307501E+00,+264.3750E-03
-38.2000E-03,+2.6995001E+00,+273.7500E-03
-38.0000E-03,+2.7307501E+00,+276.8750E-03
-37.8000E-03,+2.6682501E+00,+280.0000E-03
-37.6000E-03,+2.6995001E+00,+289.3750E-03
-37.4000E-03,+2.6682501E+00,+292.5000E-03
-37.2000E-03,+2.6682501E+00,+301.8750E-03
-37.0000E-03,+2.6682501E+00,+305.0000E-03
-36.8000E-03,+2.6682501E+00,+308.1250E-03
-36.6000E-03,+2.6057501E+00,+314.3750E-03
-36.4000E-03,+2.6370001E+00,+317.5000E-03
-36.2000E-03,+2.6057501E+00,+323.7500E-03
-36.0000E-03,+2.6057501E+00,+330.0000E-03
-35.8000E-03,+2.5745001E+00,+330.0000E-03
-35.6000E-03,+2.5120001E+00,+336.2500E-03
-35.4000E-03,+2.5120001E+00,+339.3750E-03
-35.2000E-03,+2.4807501E+00,+342.5000E-03
-35.0000E-03,+2.4182501E+00,+345.6250E-03
-34.8000E-03,+2.4495001E+00,+345.6250E-03
-34.6000E-03,+2.3870001E+00,+348.7500E-03
-34.4000E-03,+2.3870001E+00,+351.8750E-03
-34.2000E-03,+2.3870001E+00,+355.0000E-03
-34.0000E-03,+2.2620001E+00,+358.1250E-03
-33.8000E-03,+2.2932501E+00,+358.1250E-03
-33.6000E-03,+2.2932501E+00,+361.2500E-03
-33.4000E-03,+2.2307501E+00,+361.2500E-03
-33.2000E-03,+2.2307501E+00,+364.3750E-03
-33.0000E-03,+2.1995001E+00,+361.2500E-03
-32.8000E-03,+2.1370001E+00,+364.3750E-03
-32.6000E-03,+2.1057501E+00,+367.5000E-03
-32.4000E-03,+2.0745001E+00,+364.3750E-03
-32.2000E-03,+2.0432501E+00,+364.3750E-03
-32.0000E-03,+2.0745001E+00,+364.3750E-03
-31.8000E-03,+1.9807501E+00,+364.3750E-03
-31.6000E-03,+1.9807501E+00,+361.2500E-03
-31.4000E-03,+1.9182501E+00,+358.1250E-03
-31.2000E-03,+1.9182501E+00,+358.1250E-03
-31.0000E-03,+1.8557501E+00,+355.0000E-03
-30.8000E-03,+1.8245001E+00,+358.1250E-03
-30.6000E-03,+1.7932501E+00,+351.8750E-03
-30.4000E-03,+1.7620001E+00,+348.7500E-03
-30.2000E-03,+1.7307501E+00,+348.7500E-03
-30.0000E-03,+1.6370001E+00,+342.5000E-03
-29.8000E-03,+1.6370001E+00,+345.6250E-03
-29.6000E-03,+1.6057501E+00,+339.3750E-03
-29.4000E-03,+1.5432501E+00,+333.1250E-03
-29.2000E-03,+1.5120001E+00,+330.0000E-03
-29.0000E-03,+1.5120001E+00,+323.7500E-03
-28.8000E-03,+1.4495001E+00,+320.6250E-03
-28.6000E-03,+1.3870001E+00,+317.5000E-03
-28.4000E-03,+1.3245001E+00,+314.3750E-03
-28.2000E-03,+1.3245001E+00,+308.1250E-03
-28.0000E-03,+1.2932501E+00,+301.8750E-03
