second,Volt,Volt
-100.0000E-03,-581.7499E-03,-333.7500E-03
-99.8000E-03,-519.2499E-03,-340.0000E-03
-99.6000E-03,-519.2499E-03,-352.5000E-03
-99.4000E-03,-456.7499E-03,-358.7500E-03
-99.2000E-03,-456.7499E-03,-365.0000E-03
-99.0000E-03,-425.4999E-03,-371.2500E-03
-98.8000E-03,-362.9999E-03,-383.7500E-03
-98.6000E-03,-394.2499E-03,-396.2500E-03
-98.4000E-03,-394.2499E-03,-396.2500E-03
-98.2000E-03,-300.4999E-03,-402.5000E-03
-98.0000E-03,-269.2499E-03,-408.7500E-03
-97.8000E-03,-269.2499E-03,-408.7500E-03
-97.6000E-03,-237.9999E-03,-421.2500E-03
-97.4000E-03,-237.9999E-03,-421.2500E-03
-97.2000E-03,-175.4999E-03,-427.5000E-03
-97.0000E-03,-112.9999E-03,-433.7500E-03
-96.8000E-03,-112.9999E-03,-433.7500E-03
-96.6000E-03,-81.7499E-03,-440.0000E-03
-96.4000E-03,-19.2499E-03,-440.0000E-03
-96.2000E-03,-19.2499E-03,-446.2500E-03
-96.0000E-03,+12.0001E-03,-452.5000E-03
-95.8000E-03,+74.5001E-03,-452.5000E-03
-95.6000E-03,+168.2501E-03,-452.5000E-03
-95.4000E-03,+168.2501E-03,-458.7500E-03
-95.2000E-03,+230.7501E-03,-458.7500E-03
-95.0000E-03,+262.0001E-03,-465.0000E-03
-94.8000E-03,+293.2501E-03,-465.0000E-03
-94.6000E-03,+355.7501E-03,-458.7500E-03
-94.4000E-03,+355.7501E-03,-465.0000E-03
-94.2000E-03,+418.2501E-03,-458.7500E-03
-94.0000E-03,+480.7501E-03,-471.2500E-03
-93.8000E-03,+512.0001E-03,-465.0000E-03
-93.6000E-03,+574.5001E-03,-452.5000E-03
-93.4000E-03,+605.7501E-03,-465.0000E-03
-93.2000E-03,+605.7501E-03,-458.7500E-03
-93.0000E-03,+699.5001E-03,-452.5000E-03
-92.8000E-03,+730.7501E-03,-458.7500E-03
-92.6000E-03,+793.2501E-03,-452.5000E-03
-92.4000E-03,+855.7501E-03,-452.5000E-03
-92.2000E-03,+855.7501E-03,-446.2500E-03
-92.0000E-03,+949.5001E-03,-440.0000E-03
-91.8000E-03,+1.0120001E+00,-440.0000E-03
-91.6000E-03,+1.0432501E+00,-427.5000E-03
-91.4000E-03,+1.1057501E+00,-433.7500E-03
-91.2000E-03,+1.1682501E+00,-433.7500E-03
-91.0000E-03,+1.1995001E+00,-415.0000E-03
-90.8000E-03,+1.2307501E+00,-415.0000E-03
-90.6000E-03,+1.2620001E+00,-402.5000E-03
-90.4000E-03,+1.3245001E+00,-408.7500E-03
-90.2000E-03,+1.3870001E+00,-402.5000E-03
-90.0000E-03,+1.4495001E+00,-390.0000E-03
-89.8000E-03,+1.4807501E+00,-390.0000E-03
-89.6000E-03,+1.5120001E+00,-377.5000E-03
-89.4000E-03,+1.5432501E+00,-371.2500E-03
-89.2000E-03,+1.6057501E+00,-358.7500E-03
-89.0000E-03,+1.6370001E+00,-358.7500E-03
-88.8000E-03,+1.7307501E+00,-346.2500E-03
-88.6000E-03,+1.7620001E+00,-333.7500E-03
-88.4000E-03,+1.7932501E+00,-327.5000E-03
-88.2000E-03,+1.8557501E+00,-321.2500E-03
-88.0000E-03,+1.9182501E+00,-321.2500E-03
-87.8000E-03,+1.9495001E+00,-302.5000E-03
-87.6000E-03,+1.9807501E+00,-296.2500E-03
-87.4000E-03,+2.0120001E+00,-283.7500E-03
-87.2000E-03,+2.0120001E+00,-271.2500E-03
-87.0000E-03,+2.1057501E+00,-258.7500E-03
-86.8000E-03,+2.1370001E+00,-252.5000E-03
-86.6000E-03,+2.1682501E+00,-246.2500E-03
-86.4000E-03,+2.1995001E+00,-227.5000E-03
-86.2000E-03,+2.2307501E+00,-221.2500E-03
-86.0000E-03,+2.2932501E+00,-202.5000E-03
-85.8000E-03,+2.3245001E+00,-196.2500E-03
-85.6000E-03,+2.3557501E+00,-183.7500E-03
-85.4000E-03,+2.3870001E+00,-171.2500E-03
-85.2000E-03,+2.4182501E+00,-158.7500E-03
-85.0000E-03,+2.4182501E+00,-152.5000E-03
-84.8000E-03,+2.4495001E+00,-133.7500E-03
-84.6000E-03,+2.4807501E+00,-121.2500E-03
-84.4000E-03,+2.5120001E+00,-108.7500E-03
-84.2000E-03,+2.5745001E+00,-96.2500E-03
