Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 11:46:31 4/15/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
63   0.08415   0.58281   0.47183   -3.39973   0.08415   0.58281   -0.06949   0.80987   98.39783
64   0.08421   0.58284   0.47184   -3.37885   0.08421   0.58284   -0.06906   0.80987   98.37952
65   0.08416   0.58336   0.47147   -3.39952   0.08416   0.58336   -0.06955   0.80941   98.48633
66   0.08420   0.58422   0.47094   -3.40935   0.08420   0.58422   -0.06986   0.80880   98.45581
67   0.08417   0.58370   0.47130   -3.38872   0.08417   0.58370   -0.06937   0.80926   98.43140
68   0.08420   0.58394   0.47102   -3.46554   0.08420   0.58394   -0.07099   0.80889   98.46497
69   0.08444   0.58403   0.47110   -3.36022   0.08444   0.58403   -0.06882   0.80895   98.51379
70   0.08448   0.58293   0.47184   -3.34430   0.08448   0.58293   -0.06836   0.80990   98.44971
71   0.08445   0.58373   0.47122   -3.40036   0.08445   0.58373   -0.06961   0.80908   98.43750
72   0.08436   0.58415   0.47093   -3.42150   0.08436   0.58415   -0.07010   0.80874   98.55652
73   0.08463   0.58364   0.47129   -3.40827   0.08463   0.58364   -0.06977   0.80920   98.39783
74   0.08470   0.58480   0.47057   -3.40600   0.08470   0.58480   -0.06986   0.80834   98.41919
75   0.08469   0.58443   0.47083   -3.37419   0.08469   0.58443   -0.06915   0.80862   98.50769
76   0.08474   0.58370   0.47122   -3.41383   0.08474   0.58370   -0.06989   0.80908   98.48633
77   0.08470   0.58373   0.47122   -3.39298   0.08470   0.58373   -0.06946   0.80905   98.48633
78   0.08468   0.58412   0.47101   -3.38626   0.08468   0.58412   -0.06937   0.80886   98.44055
79   0.08460   0.58391   0.47117   -3.35796   0.08460   0.58391   -0.06876   0.80902   98.49548
80   0.08456   0.58376   0.47123   -3.39575   0.08456   0.58376   -0.06952   0.80914   98.39478
81   0.08455   0.58455   0.47075   -3.38234   0.08455   0.58455   -0.06934   0.80853   98.40698
82   0.08449   0.58400   0.47106   -3.40911   0.08449   0.58400   -0.06983   0.80892   98.48022
83   0.08450   0.58339   0.47152   -3.37274   0.08450   0.58339   -0.06900   0.80953   98.47107
84   0.08441   0.58403   0.47109   -3.40450   0.08441   0.58403   -0.06973   0.80905   98.43750
85   0.08442   0.58513   0.47036   -3.42763   0.08442   0.58513   -0.07035   0.80816   98.48938
86   0.08444   0.58495   0.47048   -3.41249   0.08444   0.58495   -0.07001   0.80828   98.48022
87   0.08444   0.58504   0.47036   -3.42080   0.08444   0.58504   -0.07019   0.80804   98.39478
88   0.08438   0.58461   0.47064   -3.44096   0.08438   0.58461   -0.07056   0.80844   98.46802
89   0.08442   0.58391   0.47110   -3.40668   0.08442   0.58391   -0.06977   0.80892   98.51379
90   0.08458   0.58434   0.47080   -3.42487   0.08458   0.58434   -0.07019   0.80856   98.48328
91   0.08458   0.58428   0.47091   -3.38391   0.08458   0.58428   -0.06934   0.80871   98.44971
92   0.08454   0.58547   0.47006   -3.47278   0.08454   0.58547   -0.07132   0.80776   98.42834
93   0.08458   0.58528   0.47025   -3.39435   0.08458   0.58528   -0.06967   0.80789   98.52600
94   0.08459   0.58489   0.47054   -3.39073   0.08459   0.58489   -0.06955   0.80831   98.44055
95   0.08456   0.58345   0.47134   -3.42854   0.08456   0.58345   -0.07016   0.80920   98.39478
96   0.08455   0.58348   0.47143   -3.37370   0.08455   0.58348   -0.06903   0.80935   98.48328
97   0.08465   0.58333   0.47148   -3.39674   0.08465   0.58333   -0.06949   0.80938   98.41003
98   0.08459   0.58211   0.47228   -3.36233   0.08459   0.58211   -0.06864   0.81030   98.44055
99   0.08460   0.58214   0.47233   -3.32808   0.08460   0.58214   -0.06793   0.81039   98.49548
100   0.08461   0.58275   0.47193   -3.33498   0.08461   0.58275   -0.06815   0.80990   98.46191
101   0.08449   0.58284   0.47191   -3.33150   0.08449   0.58284   -0.06809   0.80996   98.42834
102   0.08442   0.58278   0.47180   -3.41618   0.08442   0.58278   -0.06983   0.80978   98.51379
103   0.08453   0.58217   0.47228   -3.35013   0.08453   0.58217   -0.06839   0.81033   98.53516
104   0.08454   0.58272   0.47189   -3.38251   0.08454   0.58272   -0.06912   0.80990   98.38562
105   0.08435   0.58232   0.47216   -3.38924   0.08435   0.58232   -0.06922   0.81027   98.46802
106   0.08431   0.58278   0.47189   -3.35257   0.08431   0.58278   -0.06851   0.80987   98.42529
107   0.08432   0.58129   0.47277   -3.39226   0.08432   0.58129   -0.06915   0.81094   98.46802
108   0.08437   0.58058   0.47329   -3.34435   0.08437   0.58058   -0.06809   0.81155   98.45886
109   0.08431   0.58171   0.47247   -3.42239   0.08431   0.58171   -0.06983   0.81060   98.51074
110   0.08438   0.58330   0.47142   -3.45011   0.08438   0.58330   -0.07059   0.80932   98.50159
111   0.08445   0.58245   0.47202   -3.43441   0.08445   0.58245   -0.07016   0.81011   98.37341
112   0.08450   0.58312   0.47171   -3.34622   0.08450   0.58312   -0.06842   0.80969   98.47107
113   0.08444   0.58266   0.47193   -3.39322   0.08444   0.58266   -0.06934   0.80996   98.50159
114   0.08450   0.58342   0.47151   -3.35040   0.08450   0.58342   -0.06854   0.80947   98.44971
115   0.08449   0.58345   0.47138   -3.40785   0.08449   0.58345   -0.06973   0.80926   98.49243
116   0.08450   0.58321   0.47159   -3.39301   0.08450   0.58321   -0.06940   0.80956   98.50464
117   0.08454   0.58348   0.47142   -3.38699   0.08454   0.58348   -0.06931   0.80935   98.39478
118   0.08458   0.58391   0.47113   -3.40373   0.08458   0.58391   -0.06970   0.80902   98.47107
119   0.08451   0.58470   0.47063   -3.42274   0.08451   0.58470   -0.07019   0.80847   98.48022
120   0.08453   0.58434   0.47084   -3.42634   0.08453   0.58434   -0.07022   0.80871   98.41614
121   0.08452   0.58470   0.47062   -3.42717   0.08452   0.58470   -0.07028   0.80847   98.35205
122   0.08436   0.58528   0.47018   -3.46650   0.08436   0.58528   -0.07117   0.80792   98.48938
123   0.08419   0.58498   0.47039   -3.44914   0.08419   0.58498   -0.07077   0.80813   98.54126
124   0.08430   0.58461   0.47058   -3.47339   0.08430   0.58461   -0.07123   0.80837   98.46802
125   0.08434   0.58473   0.47057   -3.42846   0.08434   0.58473   -0.07031   0.80834   98.46802
126   0.08434   0.58504   0.47035   -3.46351   0.08434   0.58504   -0.07108   0.80813   98.50159
127   0.08422   0.58419   0.47086   -3.45821   0.08422   0.58419   -0.07086   0.80868   98.55347
128   0.08430   0.58452   0.47075   -3.40758   0.08430   0.58452   -0.06986   0.80859   98.42224
129   0.08423   0.58501   0.47029   -3.50198   0.08423   0.58501   -0.07187   0.80801   98.44360
130   0.08428   0.58470   0.47062   -3.41685   0.08428   0.58470   -0.07007   0.80844   98.46802
131   0.08431   0.58559   0.46997   -3.47648   0.08431   0.58559   -0.07141   0.80764   98.44666
132   0.08428   0.58556   0.47002   -3.45900   0.08428   0.58556   -0.07105   0.80770   98.54126
133   0.08442   0.58473   0.47061   -3.40635   0.08442   0.58473   -0.06986   0.80840   98.56567
134   0.08449   0.58419   0.47097   -3.39920   0.08449   0.58419   -0.06964   0.80883   98.40698
135   0.08453   0.58379   0.47119   -3.41182   0.08453   0.58379   -0.06986   0.80908   98.48328
136   0.08441   0.58428   0.47081   -3.45177   0.08441   0.58428   -0.07074   0.80862   98.56567
137   0.08454   0.58568   0.47008   -3.38029   0.08454   0.58568   -0.06943   0.80782   98.50464
138   0.08459   0.58415   0.47090   -3.44806   0.08459   0.58415   -0.07065   0.80871   98.40698
139   0.08457   0.58446   0.47073   -3.41236   0.08457   0.58446   -0.06995   0.80847   98.44971
140   0.08460   0.58385   0.47115   -3.40261   0.08460   0.58385   -0.06967   0.80898   98.53821
141   0.08458   0.58357   0.47130   -3.41601   0.08458   0.58357   -0.06992   0.80917   98.40698
142   0.08461   0.58483   0.47053   -3.39403   0.08461   0.58483   -0.06961   0.80822   98.44055
143   0.08451   0.58406   0.47101   -3.41023   0.08451   0.58406   -0.06986   0.80883   98.48022
144   0.08437   0.58385   0.47117   -3.39227   0.08437   0.58385   -0.06946   0.80905   98.44666
145   0.08437   0.58260   0.47199   -3.37433   0.08437   0.58260   -0.06894   0.81002   98.51074
146   0.08433   0.58415   0.47097   -3.39642   0.08433   0.58415   -0.06958   0.80880   98.46802
147   0.08435   0.58263   0.47199   -3.34604   0.08435   0.58263   -0.06836   0.80996   98.51074
148   0.08446   0.58336   0.47140   -3.43498   0.08446   0.58336   -0.07028   0.80929   98.38257
149   0.08432   0.58324   0.47160   -3.34996   0.08432   0.58324   -0.06851   0.80950   98.47717
150   0.08431   0.58281   0.47186   -3.37459   0.08431   0.58281   -0.06897   0.80987   98.44666
151   0.08433   0.58254   0.47204   -3.35248   0.08433   0.58254   -0.06848   0.81005   98.40393
