Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:35:50 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
58   0.09268   -0.00043   -45.01227   -0.03554   0.09268   -0.00043   -0.99750   -0.07102   101.07422
59   0.09257   -0.00250   -45.07187   -0.03441   0.09257   -0.00250   -0.99762   -0.06876   101.15662
60   0.09252   -0.00226   -45.06485   -0.03482   0.09252   -0.00226   -0.99765   -0.06958   101.13525
61   0.09257   -0.00046   -45.01315   -0.03569   0.09257   -0.00046   -0.99750   -0.07132   101.08643
62   0.09238   -0.00504   -45.14462   -0.03497   0.09238   -0.00504   -0.99750   -0.06989   101.15662
63   0.09228   -0.00958   -45.27516   -0.03414   0.09228   -0.00958   -0.99768   -0.06824   101.15967
64   0.09231   -0.01236   -45.35496   -0.03493   0.09231   -0.01236   -0.99750   -0.06980   101.08948
65   0.09230   -0.01486   -45.42687   -0.03593   0.09230   -0.01486   -0.99738   -0.07181   101.12000
66   0.09225   -0.01682   -45.48287   -0.03425   0.09225   -0.01682   -0.99756   -0.06845   101.15051
67   0.09222   -0.02109   -45.60558   -0.03450   0.09222   -0.02109   -0.99747   -0.06894   101.11084
68   0.09228   -0.02057   -45.59069   -0.03474   0.09228   -0.02057   -0.99747   -0.06943   101.08032
69   0.09221   -0.02081   -45.59777   -0.03508   0.09221   -0.02081   -0.99734   -0.07010   101.15967
70   0.09221   -0.02051   -45.58897   -0.03499   0.09221   -0.02051   -0.99741   -0.06992   101.19019
71   0.09245   -0.02057   -45.59074   -0.03531   0.09245   -0.02057   -0.99738   -0.07056   101.04980
72   0.09252   -0.01914   -45.54959   -0.03545   0.09252   -0.01914   -0.99731   -0.07083   101.10779
73   0.09257   -0.01804   -45.51807   -0.03606   0.09257   -0.01804   -0.99725   -0.07205   101.17493
74   0.09254   -0.01636   -45.46977   -0.03523   0.09254   -0.01636   -0.99747   -0.07041   101.12610
75   0.09269   -0.01379   -45.39619   -0.03575   0.09269   -0.01379   -0.99738   -0.07144   101.03455
76   0.09259   -0.00873   -45.25067   -0.03551   0.09259   -0.00873   -0.99750   -0.07096   101.09558
77   0.09251   -0.00656   -45.18841   -0.03421   0.09251   -0.00656   -0.99768   -0.06836   101.20544
78   0.09268   -0.00537   -45.15423   -0.03436   0.09268   -0.00537   -0.99768   -0.06867   101.08643
79   0.09272   -0.00323   -45.09289   -0.03427   0.09272   -0.00323   -0.99765   -0.06848   101.08337
80   0.09260   -0.00296   -45.08499   -0.03282   0.09260   -0.00296   -0.99786   -0.06558   101.17493
81   0.09262   -0.00266   -45.07624   -0.03408   0.09262   -0.00266   -0.99774   -0.06812   101.09558
82   0.09248   -0.00269   -45.07711   -0.03396   0.09248   -0.00269   -0.99777   -0.06787   101.04675
83   0.09231   -0.00482   -45.13848   -0.03493   0.09231   -0.00482   -0.99753   -0.06980   101.13831
84   0.09234   -0.00687   -45.19718   -0.03459   0.09234   -0.00687   -0.99762   -0.06912   101.15967
85   0.09238   -0.00949   -45.27254   -0.03465   0.09238   -0.00949   -0.99762   -0.06925   101.06812
86   0.09230   -0.01245   -45.35753   -0.03442   0.09230   -0.01245   -0.99765   -0.06879   101.12915
87   0.09223   -0.01550   -45.44521   -0.03444   0.09223   -0.01550   -0.99753   -0.06882   101.22070
88   0.09231   -0.01737   -45.49862   -0.03442   0.09231   -0.01737   -0.99759   -0.06879   101.08032
89   0.09242   -0.01944   -45.55825   -0.03418   0.09242   -0.01944   -0.99750   -0.06830   101.08948
90   0.09231   -0.02109   -45.60558   -0.03430   0.09231   -0.02109   -0.99747   -0.06854   101.15051
91   0.09227   -0.02100   -45.60297   -0.03418   0.09227   -0.02100   -0.99744   -0.06830   101.17798
92   0.09247   -0.01947   -45.55914   -0.03462   0.09247   -0.01947   -0.99747   -0.06919   101.05896
93   0.09255   -0.01849   -45.53119   -0.03536   0.09255   -0.01849   -0.99731   -0.07065   101.10779
94   0.09249   -0.01749   -45.50220   -0.03459   0.09249   -0.01749   -0.99744   -0.06912   101.18713
95   0.09262   -0.01480   -45.42499   -0.03414   0.09262   -0.01480   -0.99768   -0.06824   101.11694
96   0.09259   -0.01193   -45.34264   -0.03393   0.09259   -0.01193   -0.99765   -0.06781   101.03760
97   0.09257   -0.01050   -45.30145   -0.03399   0.09257   -0.01050   -0.99765   -0.06793   101.13525
98   0.09247   -0.00882   -45.25325   -0.03399   0.09247   -0.00882   -0.99768   -0.06793   101.20544
99   0.09257   -0.00732   -45.21030   -0.03343   0.09257   -0.00732   -0.99777   -0.06681   101.08643
100   0.09270   -0.00504   -45.14456   -0.03333   0.09270   -0.00504   -0.99789   -0.06662   101.08337
101   0.09257   -0.00415   -45.11917   -0.03413   0.09257   -0.00415   -0.99771   -0.06821   101.15662
102   0.09261   -0.00409   -45.11741   -0.03373   0.09261   -0.00409   -0.99780   -0.06742   101.17493
103   0.09262   -0.00323   -45.09288   -0.03353   0.09262   -0.00323   -0.99777   -0.06702   101.07727
104   0.09238   -0.00433   -45.12444   -0.03381   0.09238   -0.00433   -0.99771   -0.06757   101.12915
105   0.09235   -0.00412   -45.11830   -0.03356   0.09235   -0.00412   -0.99774   -0.06708   101.13831
106   0.09235   -0.00565   -45.16210   -0.03353   0.09235   -0.00565   -0.99780   -0.06702   101.05896
107   0.09231   -0.00693   -45.19891   -0.03366   0.09231   -0.00693   -0.99774   -0.06726   101.15051
108   0.09221   -0.00919   -45.26374   -0.03399   0.09221   -0.00919   -0.99777   -0.06793   101.15051
109   0.09226   -0.01047   -45.30058   -0.03416   0.09226   -0.01047   -0.99765   -0.06827   101.07117
110   0.09225   -0.01254   -45.36014   -0.03344   0.09225   -0.01254   -0.99771   -0.06684   101.04980
111   0.09216   -0.01334   -45.38298   -0.03463   0.09216   -0.01334   -0.99756   -0.06922   101.17188
112   0.09228   -0.01334   -45.38299   -0.03473   0.09228   -0.01334   -0.99753   -0.06940   101.19019
