Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:52:31 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
61   0.09280   -0.18479   -57.64175   0.56171   0.09280   -0.18479   -0.39122   0.90173   97.20764
62   0.09281   -0.18482   -57.68080   0.56236   0.09281   -0.18482   -0.38990   0.90228   97.21680
63   0.09294   -0.18516   -57.70528   0.56235   0.09294   -0.18516   -0.38975   0.90222   97.20154
64   0.09294   -0.18555   -57.73080   0.56229   0.09294   -0.18555   -0.38969   0.90222   97.20154
65   0.09273   -0.18561   -57.73882   0.56236   0.09273   -0.18561   -0.38954   0.90231   97.32361
66   0.09276   -0.18500   -57.71266   0.56266   0.09276   -0.18500   -0.38917   0.90246   97.18628
67   0.09257   -0.18549   -57.78924   0.56338   0.09257   -0.18549   -0.38752   0.90313   97.15881
68   0.09246   -0.18561   -57.79834   0.56340   0.09246   -0.18561   -0.38746   0.90320   97.30530
69   0.09253   -0.18491   -57.72547   0.56300   0.09253   -0.18491   -0.38853   0.90274   97.20764
70   0.09265   -0.18485   -57.78407   0.56412   0.09265   -0.18485   -0.38636   0.90378   97.19238
71   0.09263   -0.18430   -57.73246   0.56393   0.09263   -0.18430   -0.38701   0.90359   97.12219
72   0.09246   -0.18360   -57.67348   0.56379   0.09246   -0.18360   -0.38759   0.90344   97.17712
73   0.09257   -0.18274   -57.62794   0.56411   0.09257   -0.18274   -0.38737   0.90374   97.23816
74   0.09260   -0.18091   -57.47298   0.56378   0.09260   -0.18091   -0.38893   0.90353   97.16187
75   0.09252   -0.18104   -57.48984   0.56390   0.09252   -0.18104   -0.38859   0.90356   97.14966
76   0.09258   -0.18070   -57.45404   0.56368   0.09258   -0.18070   -0.38914   0.90329   97.21069
77   0.09281   -0.18024   -57.46066   0.56440   0.09281   -0.18024   -0.38792   0.90393   97.20764
78   0.09289   -0.17969   -57.38358   0.56377   0.09289   -0.17969   -0.38948   0.90344   97.19849
79   0.09280   -0.17862   -57.34431   0.56445   0.09280   -0.17862   -0.38856   0.90396   97.23511
80   0.09289   -0.17875   -57.30746   0.56365   0.09289   -0.17875   -0.39015   0.90335   97.21069
81   0.09292   -0.17673   -57.20523   0.56448   0.09292   -0.17673   -0.38942   0.90408   97.16187
82   0.09284   -0.17600   -57.22147   0.56575   0.09284   -0.17600   -0.38722   0.90515   97.27783
83   0.09283   -0.17627   -57.21027   0.56518   0.09283   -0.17627   -0.38823   0.90466   97.19849
84   0.09289   -0.17710   -57.24111   0.56464   0.09289   -0.17710   -0.38893   0.90417   97.16797
85   0.09289   -0.17655   -57.19405   0.56451   0.09289   -0.17655   -0.38942   0.90405   97.14966
86   0.09278   -0.17786   -57.31659   0.56497   0.09278   -0.17786   -0.38789   0.90442   97.25647
87   0.09276   -0.17701   -57.26952   0.56527   0.09276   -0.17701   -0.38771   0.90469   97.21375
88   0.09267   -0.17695   -57.27516   0.56547   0.09267   -0.17695   -0.38737   0.90497   97.22290
89   0.09254   -0.17856   -57.42739   0.56603   0.09254   -0.17856   -0.38548   0.90536   97.29614
90   0.09245   -0.17762   -57.41008   0.56697   0.09245   -0.17762   -0.38404   0.90616   97.31445
91   0.09250   -0.17731   -57.45313   0.56813   0.09250   -0.17731   -0.38188   0.90716   97.28699
92   0.09253   -0.18015   -57.59254   0.56687   0.09253   -0.18015   -0.38310   0.90613   97.15881
93   0.09237   -0.18018   -57.59265   0.56681   0.09237   -0.18018   -0.38316   0.90600   97.30225
