Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
62   0.09309   0.07657   -40.25894   -0.54371   0.09309   0.07657   -0.45845   -0.88549   100.49133
63   0.09315   0.07718   -40.22372   -0.54355   0.09315   0.07718   -0.45863   -0.88534   100.54016
64   0.09312   0.07678   -40.24503   -0.54373   0.09312   0.07678   -0.45836   -0.88546   100.59814
65   0.09312   0.07553   -40.32082   -0.54388   0.09312   0.07553   -0.45833   -0.88565   100.51880
66   0.09319   0.07556   -40.32325   -0.54362   0.09319   0.07556   -0.45875   -0.88537   100.51880
67   0.09311   0.07569   -40.31583   -0.54364   0.09311   0.07569   -0.45875   -0.88546   100.59814
68   0.09314   0.07556   -40.32264   -0.54366   0.09314   0.07556   -0.45869   -0.88540   100.60730
69   0.09306   0.07471   -40.37794   -0.54357   0.09306   0.07471   -0.45903   -0.88540   100.44250
70   0.09302   0.07410   -40.41775   -0.54347   0.09302   0.07410   -0.45930   -0.88528   100.57068
71   0.09288   0.07263   -40.50743   -0.54357   0.09288   0.07263   -0.45936   -0.88540   100.62866
72   0.09284   0.07419   -40.40979   -0.54359   0.09284   0.07419   -0.45906   -0.88537   100.48218
73   0.09292   0.07428   -40.38855   -0.54446   0.09292   0.07428   -0.45747   -0.88617   100.52185
74   0.09279   0.07523   -40.33115   -0.54434   0.09279   0.07523   -0.45750   -0.88601   100.61035
75   0.09272   0.07453   -40.38424   -0.54384   0.09272   0.07453   -0.45854   -0.88559   100.60120
76   0.09283   0.07437   -40.38991   -0.54405   0.09283   0.07437   -0.45817   -0.88577   100.46082
77   0.09278   0.07547   -40.31841   -0.54422   0.09278   0.07547   -0.45772   -0.88595   100.54016
78   0.09267   0.07529   -40.32099   -0.54470   0.09267   0.07529   -0.45686   -0.88638   100.61951
79   0.09281   0.07498   -40.34604   -0.54440   0.09281   0.07498   -0.45750   -0.88617   100.48218
80   0.09286   0.07413   -40.41529   -0.54349   0.09286   0.07413   -0.45924   -0.88528   100.49133
81   0.09289   0.07346   -40.46176   -0.54320   0.09289   0.07346   -0.45982   -0.88491   100.58899
82   0.09296   0.07419   -40.41129   -0.54351   0.09296   0.07419   -0.45921   -0.88531   100.54932
83   0.09310   0.07318   -40.48287   -0.54298   0.09310   0.07318   -0.46028   -0.88476   100.51880
84   0.09303   0.07132   -40.61170   -0.54222   0.09303   0.07132   -0.46196   -0.88409   100.54932
85   0.09307   0.07193   -40.57129   -0.54237   0.09307   0.07193   -0.46159   -0.88421   100.54932
86   0.09310   0.07254   -40.52324   -0.54296   0.09310   0.07254   -0.46043   -0.88476   100.45166
87   0.09311   0.07251   -40.52947   -0.54272   0.09311   0.07251   -0.46089   -0.88458   100.50964
88   0.09309   0.07282   -40.51505   -0.54247   0.09309   0.07282   -0.46132   -0.88440   100.61951
89   0.09318   0.07212   -40.56221   -0.54223   0.09318   0.07212   -0.46181   -0.88409   100.54016
90   0.09323   0.07413   -40.43141   -0.54255   0.09323   0.07413   -0.46089   -0.88433   100.47913
91   0.09312   0.07358   -40.45997   -0.54289   0.09312   0.07358   -0.46040   -0.88470   100.60730
92   0.09295   0.07263   -40.50655   -0.54360   0.09295   0.07263   -0.45927   -0.88534   100.59814
93   0.09296   0.07459   -40.39288   -0.54315   0.09296   0.07459   -0.45979   -0.88498   100.44250
94   0.09292   0.07306   -40.47345   -0.54396   0.09292   0.07306   -0.45854   -0.88565   100.50964
95   0.09279   0.07501   -40.34966   -0.54408   0.09279   0.07501   -0.45805   -0.88583   100.62866
96   0.09286   0.07456   -40.39173   -0.54333   0.09286   0.07456   -0.45949   -0.88516   100.53101
97   0.09289   0.07498   -40.36517   -0.54329   0.09289   0.07498   -0.45943   -0.88504   100.48218
98   0.09277   0.07532   -40.33352   -0.54392   0.09277   0.07532   -0.45830   -0.88571   100.57068
99   0.09272   0.07447   -40.38736   -0.54389   0.09272   0.07447   -0.45848   -0.88565   100.60120
100   0.09277   0.07443   -40.38620   -0.54406   0.09277   0.07443   -0.45817   -0.88583   100.46387
101   0.09280   0.07529   -40.33873   -0.54373   0.09280   0.07529   -0.45863   -0.88549   100.53101
102   0.09280   0.07419   -40.41098   -0.54352   0.09280   0.07419   -0.45918   -0.88531   100.57983
103   0.09312   0.07553   -40.32816   -0.54348   0.09312   0.07553   -0.45906   -0.88531   100.43945
104   0.09315   0.07459   -40.37962   -0.54386   0.09315   0.07459   -0.45845   -0.88553   100.50049
105   0.09305   0.07358   -40.44900   -0.54352   0.09305   0.07358   -0.45927   -0.88531   100.62866
106   0.09307   0.07495   -40.37005   -0.54313   0.09307   0.07495   -0.45973   -0.88491   100.53101
107   0.09313   0.07315   -40.48207   -0.54315   0.09313   0.07315   -0.46001   -0.88495   100.46082
108   0.09312   0.07318   -40.47874   -0.54323   0.09312   0.07318   -0.45985   -0.88501   100.57983
109   0.09300   0.07425   -40.41057   -0.54333   0.09300   0.07425   -0.45952   -0.88513   100.61951
110   0.09319   0.07443   -40.41292   -0.54253   0.09319   0.07443   -0.46089   -0.88433   100.47913
111   0.09326   0.07428   -40.42752   -0.54224   0.09326   0.07428   -0.46144   -0.88409   100.48828
112   0.09311   0.07355   -40.46803   -0.54254   0.09311   0.07355   -0.46104   -0.88440   100.60730
113   0.09300   0.07529   -40.35997   -0.54254   0.09300   0.07529   -0.46077   -0.88440   100.57068
114   0.09296   0.07569   -40.33290   -0.54267   0.09296   0.07569   -0.46046   -0.88452   100.46082
115   0.09291   0.07456   -40.40523   -0.54256   0.09291   0.07456   -0.46086   -0.88443   100.50964
116   0.09285   0.07566   -40.33263   -0.54277   0.09285   0.07566   -0.46025   -0.88455   100.65002
117   0.09289   0.07624   -40.30452   -0.54235   0.09289   0.07624   -0.46095   -0.88421   100.45166
118   0.09285   0.07578   -40.33131   -0.54243   0.09285   0.07578   -0.46086   -0.88427   100.49133
119   0.09273   0.07703   -40.25746   -0.54221   0.09273   0.07703   -0.46104   -0.88403   100.57068
120   0.09272   0.07718   -40.23430   -0.54296   0.09272   0.07718   -0.45967   -0.88476   100.50354
121   0.09272   0.07819   -40.18864   -0.54203   0.09272   0.07819   -0.46117   -0.88388   100.51270
122   0.09270   0.07794   -40.19026   -0.54279   0.09270   0.07794   -0.45988   -0.88464   100.53101
123   0.09278   0.07913   -40.12044   -0.54253   0.09278   0.07913   -0.46010   -0.88433   100.59204
124   0.09300   0.07831   -40.16903   -0.54269   0.09300   0.07831   -0.45997   -0.88452   100.48218
125   0.09304   0.07953   -40.08686   -0.54302   0.09304   0.07953   -0.45918   -0.88485   100.50049
126   0.09299   0.07974   -40.06557   -0.54344   0.09299   0.07974   -0.45839   -0.88522   100.61951
127   0.09296   0.08103   -40.00024   -0.54267   0.09296   0.08103   -0.45955   -0.88449   100.52185
128   0.09304   0.08029   -40.04518   -0.54271   0.09304   0.08029   -0.45961   -0.88455   100.46997
129   0.09311   0.07971   -40.08985   -0.54226   0.09311   0.07971   -0.46052   -0.88415   100.57983
130   0.09297   0.08042   -40.03716   -0.54272   0.09297   0.08042   -0.45955   -0.88452   100.63782
131   0.09314   0.07971   -40.08538   -0.54248   0.09314   0.07971   -0.46010   -0.88430   100.46082
132   0.09312   0.08148   -39.98301   -0.54207   0.09312   0.08148   -0.46052   -0.88391   100.50964
133   0.09305   0.08133   -39.99450   -0.54196   0.09305   0.08133   -0.46074   -0.88379   100.62866
