Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:31:5 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
63   0.09366   -0.14917   0.49247   52.82545   0.09366   -0.14917   0.53246   0.83331   97.42737
64   0.09367   -0.14899   0.49267   52.82015   0.09367   -0.14899   0.53218   0.83355   97.36023
65   0.09374   -0.15168   0.49234   52.95663   0.09374   -0.15168   0.53200   0.83319   97.34192
66   0.09371   -0.15165   0.49150   52.93480   0.09371   -0.15165   0.53343   0.83221   97.43958
67   0.09378   -0.15336   0.49198   53.03841   0.09378   -0.15336   0.53212   0.83276   97.40295
68   0.09382   -0.15195   0.49224   52.96857   0.09382   -0.15195   0.53212   0.83312   97.37244
69   0.09378   -0.15122   0.49303   52.94899   0.09378   -0.15122   0.53093   0.83395   97.46094
70   0.09385   -0.15192   0.49302   52.98618   0.09385   -0.15192   0.53078   0.83398   97.39380
71   0.09383   -0.15271   0.49281   53.02444   0.09383   -0.15271   0.53087   0.83370   97.33582
72   0.09360   -0.15098   0.49304   52.93550   0.09360   -0.15098   0.53102   0.83404   97.44568
73   0.09341   -0.15122   0.49271   52.94118   0.09341   -0.15122   0.53148   0.83361   97.47009
74   0.09357   -0.15000   0.49244   52.86911   0.09357   -0.15000   0.53227   0.83328   97.34802
75   0.09354   -0.14896   0.49269   52.81905   0.09354   -0.14896   0.53215   0.83358   97.43347
76   0.09345   -0.14838   0.49239   52.77991   0.09345   -0.14838   0.53288   0.83331   97.39380
77   0.09340   -0.14676   0.49296   52.70671   0.09340   -0.14676   0.53233   0.83392   97.46094
78   0.09349   -0.14698   0.49281   52.71487   0.09349   -0.14698   0.53252   0.83374   97.41211
79   0.09333   -0.14716   0.49277   52.72402   0.09333   -0.14716   0.53252   0.83367   97.50671
80   0.09324   -0.14618   0.49296   52.67645   0.09324   -0.14618   0.53243   0.83383   97.48535
81   0.09342   -0.14591   0.49292   52.66019   0.09342   -0.14591   0.53261   0.83386   97.48840
82   0.09349   -0.14670   0.49288   52.70198   0.09349   -0.14670   0.53246   0.83380   97.45178
83   0.09357   -0.14722   0.49299   52.73214   0.09357   -0.14722   0.53215   0.83395   97.31750
84   0.09360   -0.14731   0.49311   52.74052   0.09360   -0.14731   0.53188   0.83404   97.43652
85   0.09375   -0.14869   0.49267   52.80363   0.09375   -0.14869   0.53227   0.83355   97.36023
86   0.09378   -0.14924   0.49280   52.83661   0.09378   -0.14924   0.53188   0.83367   97.34192
87   0.09370   -0.14939   0.49290   52.84723   0.09370   -0.14939   0.53166   0.83380   97.39990
88   0.09377   -0.15116   0.49224   52.92604   0.09377   -0.15116   0.53233   0.83312   97.47009
89   0.09378   -0.15183   0.49301   52.98118   0.09378   -0.15183   0.53081   0.83395   97.39075
90   0.09375   -0.15302   0.49218   53.02477   0.09375   -0.15302   0.53191   0.83303   97.35107
91   0.09377   -0.15241   0.49228   52.99440   0.09377   -0.15241   0.53191   0.83316   97.39075
92   0.09378   -0.15235   0.49292   53.00706   0.09378   -0.15235   0.53081   0.83386   97.38159
93   0.09362   -0.15155   0.49265   52.95792   0.09362   -0.15155   0.53148   0.83352   97.47620
94   0.09349   -0.15040   0.49331   52.91130   0.09349   -0.15040   0.53069   0.83428   97.43347
95   0.09357   -0.14985   0.49342   52.88384   0.09357   -0.14985   0.53069   0.83444   97.42432
96   0.09350   -0.15064   0.49262   52.90752   0.09350   -0.15064   0.53182   0.83352   97.45178
97   0.09343   -0.15027   0.49277   52.89140   0.09343   -0.15027   0.53166   0.83370   97.45178
98   0.09343   -0.14835   0.49270   52.78645   0.09343   -0.14835   0.53230   0.83358   97.39075
99   0.09354   -0.14835   0.49329   52.80006   0.09354   -0.14835   0.53133   0.83428   97.33582
100   0.09340   -0.14795   0.49335   52.78022   0.09340   -0.14795   0.53133   0.83435   97.39990
101   0.09336   -0.14777   0.49254   52.75156   0.09336   -0.14777   0.53273   0.83340   97.51587
102   0.09349   -0.14774   0.49272   52.75426   0.09349   -0.14774   0.53243   0.83358   97.41211
103   0.09355   -0.14716   0.49369   52.74643   0.09355   -0.14716   0.53090   0.83465   97.33582
104   0.09359   -0.14716   0.49285   52.72571   0.09359   -0.14716   0.53240   0.83380   97.43652
105   0.09365   -0.14801   0.49359   52.79008   0.09365   -0.14801   0.53084   0.83453   97.46704
106   0.09368   -0.14737   0.49369   52.75713   0.09368   -0.14737   0.53090   0.83474   97.40906
107   0.09381   -0.14734   0.49391   52.76070   0.09381   -0.14734   0.53053   0.83499   97.29614
108   0.09373   -0.14743   0.49339   52.75340   0.09373   -0.14743   0.53139   0.83438   97.43958
109   0.09372   -0.14698   0.49427   52.75040   0.09372   -0.14698   0.52995   0.83529   97.46704
110   0.09378   -0.14698   0.49461   52.75848   0.09378   -0.14698   0.52937   0.83569   97.47009
111   0.09383   -0.14798   0.49317   52.77792   0.09383   -0.14798   0.53160   0.83413   97.36328
112   0.09370   -0.14750   0.49395   52.77047   0.09370   -0.14750   0.53038   0.83496   97.32056
113   0.09382   -0.14844   0.49390   52.81960   0.09382   -0.14844   0.53026   0.83499   97.35413
114   0.09366   -0.14924   0.49304   52.84260   0.09366   -0.14924   0.53145   0.83395   97.44568
115   0.09357   -0.14945   0.49367   52.86959   0.09357   -0.14945   0.53029   0.83462   97.43347
116   0.09337   -0.14905   0.49389   52.85317   0.09337   -0.14905   0.53005   0.83489   97.40906
117   0.09351   -0.14954   0.49345   52.86815   0.09351   -0.14954   0.53072   0.83447   97.48230
118   0.09344   -0.14927   0.49388   52.86430   0.09344   -0.14927   0.53001   0.83489   97.42126
119   0.09342   -0.14954   0.49339   52.86686   0.09342   -0.14954   0.53081   0.83438   97.36328
120   0.09353   -0.14850   0.49366   52.81794   0.09353   -0.14850   0.53059   0.83465   97.33582
121   0.09344   -0.14817   0.49379   52.80284   0.09344   -0.14817   0.53047   0.83480   97.37244
122   0.09339   -0.14823   0.49370   52.80419   0.09339   -0.14823   0.53059   0.83468   97.40906
123   0.09342   -0.14887   0.49382   52.84185   0.09342   -0.14887   0.53020   0.83477   97.44873
124   0.09353   -0.14817   0.49416   52.81182   0.09353   -0.14817   0.52983   0.83520   97.41516
125   0.09349   -0.14936   0.49341   52.85770   0.09349   -0.14936   0.53081   0.83441   97.50061
126   0.09361   -0.14924   0.49336   52.84946   0.09361   -0.14924   0.53096   0.83438   97.36633
127   0.09368   -0.14972   0.49305   52.86871   0.09368   -0.14972   0.53133   0.83398   97.32971
128   0.09366   -0.14878   0.49318   52.82015   0.09366   -0.14878   0.53142   0.83419   97.33887
129   0.09367   -0.15036   0.49319   52.90675   0.09367   -0.15036   0.53090   0.83413   97.38770
130   0.09361   -0.15006   0.49315   52.88935   0.09361   -0.15006   0.53105   0.83410   97.49451
131   0.09382   -0.15073   0.49277   52.91640   0.09382   -0.15073   0.53151   0.83367   97.31445
132   0.09385   -0.14948   0.49328   52.86123   0.09385   -0.14948   0.53099   0.83425   97.35413
133   0.09387   -0.15043   0.49313   52.90850   0.09387   -0.15043   0.53099   0.83407   97.34497
134   0.09376   -0.14975   0.49326   52.87496   0.09376   -0.14975   0.53099   0.83428   97.39990
135   0.09376   -0.14924   0.49316   52.84474   0.09376   -0.14924   0.53130   0.83413   97.32361
136   0.09362   -0.15064   0.49279   52.91140   0.09362   -0.15064   0.53154   0.83374   97.35718
137   0.09343   -0.15079   0.49237   52.90952   0.09343   -0.15079   0.53221   0.83325   97.50061
138   0.09351   -0.15052   0.49264   52.90186   0.09351   -0.15052   0.53179   0.83349   97.40295
139   0.09345   -0.15122   0.49285   52.94465   0.09345   -0.15122   0.53124   0.83374   97.42126
140   0.09345   -0.14936   0.49334   52.85599   0.09345   -0.14936   0.53093   0.83432   97.39380
141   0.09332   -0.15143   0.49281   52.95531   0.09332   -0.15143   0.53124   0.83370   97.57385
142   0.09342   -0.15137   0.49331   52.96442   0.09342   -0.15137   0.53038   0.83422   97.36328
143   0.09337   -0.15204   0.49319   52.99664   0.09337   -0.15204   0.53047   0.83422   97.36023
144   0.09332   -0.15253   0.49279   53.01400   0.09332   -0.15253   0.53096   0.83367   97.37854
145   0.09345   -0.15195   0.49252   52.97596   0.09345   -0.15195   0.53160   0.83340   97.37244
146   0.09348   -0.15165   0.49202   52.94689   0.09348   -0.15165   0.53258   0.83288   97.39380
147   0.09355   -0.15183   0.49216   52.96033   0.09355   -0.15183   0.53227   0.83300   97.45483
148   0.09367   -0.15198   0.49214   52.96793   0.09367   -0.15198   0.53227   0.83300   97.47620
149   0.09382   -0.15229   0.49262   52.99660   0.09382   -0.15229   0.53133   0.83349   97.39380
150   0.09378   -0.15198   0.49241   52.97530   0.09378   -0.15198   0.53175   0.83322   97.43958
151   0.09369   -0.15098   0.49228   52.91649   0.09369   -0.15098   0.53236   0.83322   97.48840
152   0.09378   -0.15149   0.49236   52.94751   0.09378   -0.15149   0.53200   0.83319   97.43042
153   0.09383   -0.15143   0.49339   52.96878   0.09383   -0.15143   0.53029   0.83441   97.35413
154   0.09375   -0.15036   0.49306   52.90373   0.09375   -0.15036   0.53111   0.83398   97.34192
155   0.09366   -0.15110   0.49234   52.92559   0.09366   -0.15110   0.53215   0.83319   97.58301
156   0.09374   -0.14966   0.49200   52.83955   0.09374   -0.14966   0.53319   0.83285   97.42126
157   0.09366   -0.14982   0.49211   52.85099   0.09366   -0.14982   0.53291   0.83294   97.40906
158   0.09351   -0.14945   0.49206   52.83018   0.09351   -0.14945   0.53310   0.83288   97.45178
159   0.09342   -0.14832   0.49250   52.77941   0.09342   -0.14832   0.53270   0.83343   97.50977
160   0.09349   -0.14933   0.49284   52.84246   0.09349   -0.14933   0.53179   0.83374   97.39380
161   0.09343   -0.14829   0.49299   52.79020   0.09343   -0.14829   0.53182   0.83389   97.35107
162   0.09333   -0.14826   0.49337   52.79719   0.09333   -0.14826   0.53121   0.83438   97.49756
163   0.09339   -0.14878   0.49356   52.83041   0.09339   -0.14878   0.53069   0.83453   97.45789
164   0.09342   -0.14740   0.49462   52.78165   0.09342   -0.14740   0.52925   0.83572   97.39075
165   0.09338   -0.14707   0.49459   52.76308   0.09338   -0.14707   0.52937   0.83566   97.35107
166   0.09344   -0.14655   0.49480   52.73956   0.09344   -0.14655   0.52919   0.83593   97.38159
167   0.09356   -0.14637   0.49462   52.72568   0.09356   -0.14637   0.52953   0.83569   97.37549
168   0.09359   -0.14686   0.49431   52.74469   0.09359   -0.14686   0.52992   0.83535   97.42432
169   0.09376   -0.14686   0.49383   52.73367   0.09376   -0.14686   0.53072   0.83477   97.42126
170   0.09374   -0.14643   0.49473   52.73130   0.09374   -0.14643   0.52934   0.83584   97.43958
171   0.09367   -0.14695   0.49473   52.76035   0.09367   -0.14695   0.52913   0.83575   97.46704
172   0.09371   -0.14673   0.49562   52.76923   0.09371   -0.14673   0.52773   0.83685   97.37854
173   0.09375   -0.14835   0.49617   52.87101   0.09375   -0.14835   0.52629   0.83740   97.37244
174   0.09391   -0.14743   0.49629   52.82439   0.09391   -0.14743   0.52632   0.83752   97.37549
175   0.09378   -0.14774   0.49480   52.80407   0.09378   -0.14774   0.52886   0.83593   97.41211
176   0.09371   -0.14692   0.49511   52.76777   0.09371   -0.14692   0.52849   0.83618   97.42737
177   0.09372   -0.14661   0.49424   52.72989   0.09372   -0.14661   0.53011   0.83526   97.43042
178   0.09375   -0.14841   0.49416   52.82535   0.09375   -0.14841   0.52974   0.83517   97.31140
179   0.09366   -0.14847   0.49393   52.82284   0.09366   -0.14847   0.53014   0.83493   97.34802
180   0.09344   -0.15012   0.49348   52.90103   0.09344   -0.15012   0.53044   0.83444   97.50977
181   0.09347   -0.14942   0.49478   52.89484   0.09347   -0.14942   0.52840   0.83587   97.45178
