Time (ns)	Amplitude (dB/mm)	
-6.87949904E+000	-9.96428623E+001	
-6.85878574E+000	-9.96864378E+001	
-6.83807243E+000	-9.94259672E+001	
-6.81735913E+000	-9.93032064E+001	
-6.79664582E+000	-9.93014084E+001	
-6.77593252E+000	-9.80607770E+001	
-6.75521921E+000	-9.98634573E+001	
-6.73450591E+000	-1.00320543E+002	
-6.71379260E+000	-9.82868535E+001	
-6.69307930E+000	-9.99241369E+001	
-6.67236599E+000	-9.94437775E+001	
-6.65165269E+000	-9.92522858E+001	
-6.63093938E+000	-9.97712063E+001	
-6.61022608E+000	-9.96020871E+001	
-6.58951277E+000	-9.91749249E+001	
-6.56879947E+000	-1.00803568E+002	
-6.54808616E+000	-9.90197422E+001	
-6.52737285E+000	-9.94671430E+001	
-6.50665955E+000	-9.89128416E+001	
-6.48594624E+000	-9.86993783E+001	
-6.46523294E+000	-9.83309303E+001	
-6.44451963E+000	-9.93543641E+001	
-6.42380633E+000	-9.91324934E+001	
-6.40309302E+000	-1.00162102E+002	
-6.38237972E+000	-9.94467740E+001	
-6.36166641E+000	-9.98870396E+001	
-6.34095311E+000	-9.99315585E+001	
-6.32023980E+000	-9.79389466E+001	
-6.29952650E+000	-9.95917418E+001	
-6.27881319E+000	-9.91383329E+001	
-6.25809989E+000	-9.95146026E+001	
-6.23738658E+000	-1.00736018E+002	
-6.21667327E+000	-9.95734517E+001	
-6.19595997E+000	-9.73330481E+001	
-6.17524666E+000	-9.95166818E+001	
-6.15453336E+000	-9.95708436E+001	
-6.13382005E+000	-9.83386656E+001	
-6.11310675E+000	-9.96781304E+001	
-6.09239344E+000	-9.93865415E+001	
-6.07168014E+000	-1.00082353E+002	
-6.05096683E+000	-9.94162478E+001	
-6.03025353E+000	-9.93070167E+001	
-6.00954022E+000	-9.86358917E+001	
-5.98882692E+000	-9.88926346E+001	
-5.96811361E+000	-9.83487323E+001	
-5.94740031E+000	-9.91117271E+001	
-5.92668700E+000	-9.88676627E+001	
-5.90597369E+000	-9.90719116E+001	
-5.88526039E+000	-9.98233666E+001	
-5.86454708E+000	-9.95916444E+001	
-5.84383378E+000	-9.93925328E+001	
-5.82312047E+000	-9.83004959E+001	
-5.80240717E+000	-1.01912699E+002	
-5.78169386E+000	-9.78742989E+001	
-5.76098056E+000	-9.93238246E+001	
-5.74026725E+000	-1.00216882E+002	
-5.71955395E+000	-9.94028899E+001	
-5.69884064E+000	-9.91999091E+001	
-5.67812734E+000	-9.94301275E+001	
-5.65741403E+000	-9.97221955E+001	
-5.63670073E+000	-9.99371190E+001	
-5.61598742E+000	-9.92760840E+001	
-5.59527412E+000	-9.97867467E+001	
-5.57456081E+000	-9.95315522E+001	
-5.55384750E+000	-9.94020230E+001	
-5.53313420E+000	-9.87546343E+001	
-5.51242089E+000	-9.91835088E+001	
-5.49170759E+000	-9.91057051E+001	
-5.47099428E+000	-9.94941217E+001	
-5.45028098E+000	-9.90027345E+001	
-5.42956767E+000	-9.88622206E+001	
-5.40885437E+000	-1.00294925E+002	
-5.38814106E+000	-9.94955743E+001	
-5.36742776E+000	-9.85006152E+001	
-5.34671445E+000	-9.94467195E+001	
-5.32600115E+000	-9.88185000E+001	
-5.30528784E+000	-9.89361411E+001	
-5.28457454E+000	-9.77670561E+001	
-5.26386123E+000	-9.97808582E+001	
-5.24314792E+000	-9.83747219E+001	
-5.22243462E+000	-1.00751784E+002	
-5.20172131E+000	-1.00813806E+002	
-5.18100801E+000	-9.95355694E+001	
-5.16029470E+000	-9.98040033E+001	
-5.13958140E+000	-9.92827258E+001	
-5.11886809E+000	-9.92005722E+001	
-5.09815479E+000	-1.00775350E+002	
-5.07744148E+000	-9.90868492E+001	
-5.05672818E+000	-9.93300042E+001	
-5.03601487E+000	-9.83754896E+001	
-5.01530157E+000	-9.88378846E+001	
-4.99458826E+000	-9.76809702E+001	
-4.97387496E+000	-9.97907399E+001	
-4.95316165E+000	-9.79614518E+001	
-4.93244834E+000	-9.90385463E+001	
-4.91173504E+000	-9.88157646E+001	
-4.89102173E+000	-9.87034337E+001	
-4.87030843E+000	-9.82435571E+001	
-4.84959512E+000	-1.00394470E+002	
-4.82888182E+000	-9.84647863E+001	
-4.80816851E+000	-9.89754048E+001	
-4.78745521E+000	-9.93129527E+001	
-4.76674190E+000	-9.94774889E+001	
-4.74602860E+000	-9.92409854E+001	
-4.72531529E+000	-9.87190122E+001	
-4.70460199E+000	-1.00797745E+002	
-4.68388868E+000	-9.88821986E+001	
-4.66317538E+000	-9.91109298E+001	
-4.64246207E+000	-1.00000021E+002	
-4.62174877E+000	-1.00339654E+002	
-4.60103546E+000	-9.85053290E+001	
-4.58032215E+000	-9.98748051E+001	
-4.55960885E+000	-9.85345437E+001	
-4.53889554E+000	-1.00270767E+002	
-4.51818224E+000	-9.87120435E+001	
-4.49746893E+000	-9.90342554E+001	
-4.47675563E+000	-9.90989641E+001	
-4.45604232E+000	-9.95972332E+001	
-4.43532902E+000	-9.83816020E+001	
-4.41461571E+000	-9.94240876E+001	
-4.39390241E+000	-1.00134326E+002	
-4.37318910E+000	-9.96319701E+001	
-4.35247580E+000	-9.94706460E+001	
-4.33176249E+000	-9.93955012E+001	
-4.31104919E+000	-9.93167734E+001	
-4.29033588E+000	-9.84478372E+001	
-4.26962257E+000	-9.81183353E+001	
-4.24890927E+000	-9.87316869E+001	
-4.22819596E+000	-9.94314622E+001	
-4.20748266E+000	-1.00171710E+002	
-4.18676935E+000	-9.88231397E+001	
-4.16605605E+000	-9.95485115E+001	
-4.14534274E+000	-9.96079507E+001	
-4.12462944E+000	-1.00143455E+002	
-4.10391613E+000	-9.85309306E+001	
-4.08320283E+000	-9.89777423E+001	
-4.06248952E+000	-9.87636924E+001	
