Time (ns)	Amplitude (dB/mm)	
-6.87949904E+000	-9.52334819E+001	
-6.85878574E+000	-9.40404072E+001	
-6.83807243E+000	-9.53301984E+001	
-6.81735913E+000	-9.53433323E+001	
-6.79664582E+000	-9.53176485E+001	
-6.77593252E+000	-9.46747192E+001	
-6.75521921E+000	-9.38822116E+001	
-6.73450591E+000	-9.31597663E+001	
-6.71379260E+000	-9.33863558E+001	
-6.69307930E+000	-9.56939022E+001	
-6.67236599E+000	-9.48171761E+001	
-6.65165269E+000	-9.43725054E+001	
-6.63093938E+000	-9.38511196E+001	
-6.61022608E+000	-9.38733687E+001	
-6.58951277E+000	-9.39511126E+001	
-6.56879947E+000	-9.52674148E+001	
-6.54808616E+000	-9.46739135E+001	
-6.52737285E+000	-9.43837077E+001	
-6.50665955E+000	-9.46871266E+001	
-6.48594624E+000	-9.53221960E+001	
-6.46523294E+000	-9.47923738E+001	
-6.44451963E+000	-9.43470134E+001	
-6.42380633E+000	-9.44012844E+001	
-6.40309302E+000	-9.51683915E+001	
-6.38237972E+000	-9.41571891E+001	
-6.36166641E+000	-9.50480266E+001	
-6.34095311E+000	-9.54932545E+001	
-6.32023980E+000	-9.48081116E+001	
-6.29952650E+000	-9.43393624E+001	
-6.27881319E+000	-9.49557398E+001	
-6.25809989E+000	-9.43438959E+001	
-6.23738658E+000	-9.42837842E+001	
-6.21667327E+000	-9.43181677E+001	
-6.19595997E+000	-9.35878313E+001	
-6.17524666E+000	-9.48543339E+001	
-6.15453336E+000	-9.47809045E+001	
-6.13382005E+000	-9.38322540E+001	
-6.11310675E+000	-9.52526031E+001	
-6.09239344E+000	-9.53620196E+001	
-6.07168014E+000	-9.57570403E+001	
-6.05096683E+000	-9.45353637E+001	
-6.03025353E+000	-9.38624871E+001	
-6.00954022E+000	-9.40788830E+001	
-5.98882692E+000	-9.42807073E+001	
-5.96811361E+000	-9.36136031E+001	
-5.94740031E+000	-9.42681153E+001	
-5.92668700E+000	-9.32047692E+001	
-5.90597369E+000	-9.48381149E+001	
-5.88526039E+000	-9.58122607E+001	
-5.86454708E+000	-9.48867235E+001	
-5.84383378E+000	-9.43461347E+001	
-5.82312047E+000	-9.38258084E+001	
-5.80240717E+000	-9.49503270E+001	
-5.78169386E+000	-9.44899980E+001	
-5.76098056E+000	-9.41723510E+001	
-5.74026725E+000	-9.53894232E+001	
-5.71955395E+000	-9.47474783E+001	
-5.69884064E+000	-9.50222496E+001	
-5.67812734E+000	-9.51817617E+001	
-5.65741403E+000	-9.48552867E+001	
-5.63670073E+000	-9.43701621E+001	
-5.61598742E+000	-9.32019927E+001	
-5.59527412E+000	-9.41846519E+001	
-5.57456081E+000	-9.34215764E+001	
-5.55384750E+000	-9.52585233E+001	
-5.53313420E+000	-9.43574783E+001	
-5.51242089E+000	-9.55710329E+001	
-5.49170759E+000	-9.46810867E+001	
-5.47099428E+000	-9.39646313E+001	
-5.45028098E+000	-9.41241167E+001	
-5.42956767E+000	-9.43980347E+001	
-5.40885437E+000	-9.44665596E+001	
-5.38814106E+000	-9.53168176E+001	
-5.36742776E+000	-9.50457982E+001	
-5.34671445E+000	-9.38548460E+001	
-5.32600115E+000	-9.46879887E+001	
-5.30528784E+000	-9.38154528E+001	
-5.28457454E+000	-9.42115789E+001	
-5.26386123E+000	-9.55453742E+001	
-5.24314792E+000	-9.50358884E+001	
-5.22243462E+000	-9.39222195E+001	
-5.20172131E+000	-9.54026391E+001	
-5.18100801E+000	-9.47505463E+001	
