Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
65   0.08518   0.64290   -0.24365   21.66109   0.08518   0.64290   0.60631   -0.46831   100.35400
66   0.08522   0.64248   -0.24385   21.67420   0.08522   0.64248   0.60646   -0.46864   100.41809
67   0.08521   0.64321   -0.24351   21.65215   0.08521   0.64321   0.60622   -0.46806   100.56763
68   0.08533   0.64278   -0.24351   21.67244   0.08533   0.64278   0.60668   -0.46806   100.40588
69   0.08540   0.64364   -0.24333   21.63689   0.08540   0.64364   0.60598   -0.46773   100.34180
70   0.08532   0.64302   -0.24344   21.66054   0.08532   0.64302   0.60640   -0.46791   100.51270
71   0.08536   0.64351   -0.24326   21.64320   0.08536   0.64351   0.60613   -0.46757   100.49133
72   0.08535   0.64241   -0.24357   21.68778   0.08535   0.64241   0.60698   -0.46818   100.39673
73   0.08522   0.64290   -0.24377   21.65749   0.08522   0.64290   0.60616   -0.46852   100.43945
74   0.08514   0.64232   -0.24387   21.68119   0.08514   0.64232   0.60662   -0.46867   100.51575
75   0.08510   0.64299   -0.24334   21.66697   0.08510   0.64299   0.60665   -0.46776   100.36316
76   0.08506   0.64275   -0.24362   21.67168   0.08506   0.64275   0.60662   -0.46828   100.39673
77   0.08502   0.64248   -0.24345   21.68571   0.08502   0.64248   0.60695   -0.46791   100.49438
78   0.08499   0.64309   -0.24339   21.66206   0.08499   0.64309   0.60652   -0.46785   100.41809
79   0.08497   0.64306   -0.24270   21.68143   0.08497   0.64306   0.60732   -0.46657   100.41809
80   0.08484   0.64309   -0.24307   21.67069   0.08484   0.64309   0.60689   -0.46727   100.46387
81   0.08490   0.64302   -0.24326   21.66917   0.08490   0.64302   0.60677   -0.46764   100.48523
82   0.08493   0.64351   -0.24261   21.66694   0.08493   0.64351   0.60714   -0.46648   100.34485
83   0.08488   0.64309   -0.24305   21.67356   0.08488   0.64309   0.60701   -0.46727   100.39673
84   0.08474   0.64272   -0.24290   21.69321   0.08474   0.64272   0.60750   -0.46696   100.52795
85   0.08477   0.64287   -0.24313   21.67832   0.08477   0.64287   0.60701   -0.46736   100.45166
86   0.08493   0.64345   -0.24272   21.66471   0.08493   0.64345   0.60698   -0.46666   100.40894
87   0.08515   0.64422   -0.24265   21.63122   0.08515   0.64422   0.60628   -0.46654   100.41809
88   0.08507   0.64351   -0.24278   21.65903   0.08507   0.64351   0.60680   -0.46675   100.43945
89   0.08509   0.64345   -0.24317   21.65104   0.08509   0.64345   0.60640   -0.46745   100.41809
90   0.08511   0.64290   -0.24304   21.67979   0.08511   0.64290   0.60710   -0.46721   100.43945
91   0.08515   0.64336   -0.24284   21.66530   0.08515   0.64336   0.60692   -0.46687   100.50354
92   0.08531   0.64367   -0.24276   21.65277   0.08531   0.64367   0.60668   -0.46672   100.32043
93   0.08512   0.64345   -0.24321   21.64744   0.08512   0.64345   0.60625   -0.46748   100.49438
94   0.08509   0.64327   -0.24343   21.65223   0.08509   0.64327   0.60628   -0.46794   100.50354
95   0.08510   0.64330   -0.24310   21.66091   0.08510   0.64330   0.60668   -0.46733   100.41809
96   0.08518   0.64315   -0.24330   21.65782   0.08518   0.64315   0.60640   -0.46764   100.28992
97   0.08489   0.64309   -0.24342   21.66134   0.08489   0.64309   0.60649   -0.46791   100.48523
98   0.08482   0.64306   -0.24385   21.64906   0.08482   0.64306   0.60594   -0.46867   100.54932
99   0.08486   0.64342   -0.24317   21.65028   0.08486   0.64342   0.60634   -0.46742   100.37537
100   0.08478   0.64324   -0.24307   21.66298   0.08478   0.64324   0.60671   -0.46727   100.44250
101   0.08477   0.64376   -0.24331   21.63202   0.08477   0.64376   0.60588   -0.46770   100.50659
102   0.08479   0.64315   -0.24354   21.65278   0.08479   0.64315   0.60619   -0.46809   100.38757
103   0.08474   0.64312   -0.24340   21.65850   0.08474   0.64312   0.60640   -0.46785   100.37537
104   0.08471   0.64299   -0.24361   21.65906   0.08471   0.64299   0.60631   -0.46825   100.48523
105   0.08473   0.64284   -0.24322   21.67684   0.08473   0.64284   0.60692   -0.46751   100.47302
106   0.08486   0.64296   -0.24308   21.67772   0.08486   0.64296   0.60707   -0.46730   100.35400
107   0.08486   0.64302   -0.24348   21.65766   0.08486   0.64302   0.60628   -0.46794   100.50659
108   0.08489   0.64281   -0.24349   21.66961   0.08489   0.64281   0.60659   -0.46800   100.46082
109   0.08510   0.64269   -0.24287   21.69676   0.08510   0.64269   0.60762   -0.46693   100.43030
110   0.08506   0.64345   -0.24336   21.64456   0.08506   0.64345   0.60613   -0.46779   100.38452
111   0.08508   0.64348   -0.24363   21.63452   0.08508   0.64348   0.60573   -0.46828   100.49438
112   0.08505   0.64336   -0.24332   21.65019   0.08505   0.64336   0.60628   -0.46773   100.47302
113   0.08518   0.64232   -0.24344   21.69270   0.08518   0.64232   0.60710   -0.46788   100.37537
114   0.08510   0.64296   -0.24304   21.67844   0.08510   0.64296   0.60710   -0.46724   100.50354
115   0.08509   0.64360   -0.24379   21.62172   0.08509   0.64360   0.60530   -0.46852   100.51575
116   0.08518   0.64339   -0.24355   21.64088   0.08518   0.64339   0.60591   -0.46812   100.39673
117   0.08527   0.64241   -0.24358   21.68563   0.08527   0.64241   0.60689   -0.46815   100.39673
118   0.08513   0.64284   -0.24380   21.65669   0.08513   0.64284   0.60607   -0.46852   100.51575
119   0.08500   0.64391   -0.24359   21.61494   0.08500   0.64391   0.60530   -0.46818   100.41809
120   0.08498   0.64296   -0.24374   21.65470   0.08498   0.64296   0.60610   -0.46846   100.34180
121   0.08496   0.64345   -0.24365   21.63592   0.08496   0.64345   0.60576   -0.46831   100.43945
122   0.08486   0.64302   -0.24340   21.66270   0.08486   0.64302   0.60649   -0.46785   100.45166
123   0.08485   0.64348   -0.24301   21.65324   0.08485   0.64348   0.60652   -0.46715   100.35400
124   0.08483   0.64342   -0.24322   21.64812   0.08483   0.64342   0.60625   -0.46751   100.46387
125   0.08488   0.64345   -0.24301   21.65392   0.08488   0.64345   0.60652   -0.46715   100.48523
126   0.08478   0.64315   -0.24267   21.68083   0.08478   0.64315   0.60738   -0.46657   100.43030
127   0.08486   0.64299   -0.24331   21.66625   0.08486   0.64299   0.60662   -0.46767   100.41809
128   0.08471   0.64351   -0.24291   21.65472   0.08471   0.64351   0.60662   -0.46696   100.52795
129   0.08482   0.64364   -0.24295   21.65057   0.08482   0.64364   0.60656   -0.46709   100.48523
130   0.08508   0.64312   -0.24292   21.67217   0.08508   0.64312   0.60698   -0.46696   100.37537
131   0.08497   0.64336   -0.24330   21.65019   0.08497   0.64336   0.60628   -0.46767   100.43030
132   0.08498   0.64306   -0.24300   21.67496   0.08498   0.64306   0.60704   -0.46715   100.46082
133   0.08499   0.64403   -0.24244   21.64751   0.08499   0.64403   0.60680   -0.46617   100.43945
134   0.08508   0.64296   -0.24274   21.68706   0.08508   0.64296   0.60747   -0.46669   100.41809
135   0.08505   0.64348   -0.24357   21.63596   0.08505   0.64348   0.60579   -0.46815   100.43945
