Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 16:30:8 4/17/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,6,0)
Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
63   0.09354   -0.11621   0.31931   49.16051   0.09354   -0.11621   0.79458   0.59618   98.44360
64   0.09357   -0.11380   0.31936   49.07383   0.09357   -0.11380   0.79489   0.59627   98.56873
65   0.09359   -0.11322   0.31959   49.05427   0.09359   -0.11322   0.79470   0.59664   98.45276
66   0.09347   -0.11136   0.31985   48.98878   0.09347   -0.11136   0.79464   0.59706   98.46191
67   0.09361   -0.11069   0.31951   48.96278   0.09361   -0.11069   0.79510   0.59648   98.37341
68   0.09384   -0.11231   0.32008   49.02420   0.09384   -0.11231   0.79424   0.59743   98.48633
69   0.09382   -0.11307   0.32031   49.05349   0.09382   -0.11307   0.79379   0.59774   98.53516
70   0.09386   -0.11408   0.31996   49.08755   0.09386   -0.11408   0.79409   0.59722   98.48633
71   0.09395   -0.11795   0.31931   49.22318   0.09395   -0.11795   0.79434   0.59618   98.44055
72   0.09394   -0.11768   0.31979   49.21652   0.09394   -0.11768   0.79376   0.59691   98.47717
73   0.09375   -0.12104   0.31955   49.33632   0.09375   -0.12104   0.79351   0.59651   98.58093
74   0.09388   -0.12250   0.31884   49.38466   0.09388   -0.12250   0.79412   0.59536   98.56567
75   0.09404   -0.12626   0.31866   49.51838   0.09404   -0.12626   0.79385   0.59514   98.47107
76   0.09395   -0.12751   0.31852   49.56292   0.09395   -0.12751   0.79376   0.59487   98.49854
77   0.09388   -0.12854   0.31850   49.59995   0.09388   -0.12854   0.79366   0.59487   98.59314
78   0.09401   -0.13013   0.31792   49.65363   0.09401   -0.13013   0.79403   0.59389   98.48022
79   0.09386   -0.12943   0.31843   49.63177   0.09386   -0.12943   0.79354   0.59471   98.45581
80   0.09362   -0.12683   0.31825   49.53707   0.09362   -0.12683   0.79415   0.59441   98.62976
81   0.09363   -0.12793   0.31778   49.57277   0.09363   -0.12793   0.79467   0.59374   98.58093
82   0.09364   -0.12497   0.31821   49.46919   0.09364   -0.12497   0.79458   0.59441   98.54126
83   0.09366   -0.12452   0.31878   49.45662   0.09366   -0.12452   0.79394   0.59529   98.52295
84   0.09360   -0.12326   0.31751   49.40322   0.09360   -0.12326   0.79565   0.59325   98.54126
85   0.09364   -0.11988   0.31800   49.28468   0.09364   -0.11988   0.79553   0.59401   98.55042
86   0.09360   -0.11756   0.31798   49.20059   0.09360   -0.11756   0.79598   0.59404   98.53210
87   0.09358   -0.11695   0.31804   49.17893   0.09358   -0.11695   0.79601   0.59413   98.48328
88   0.09371   -0.11597   0.31850   49.14703   0.09371   -0.11597   0.79553   0.59484   98.56262
