Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
62   0.09389   -0.00345   -0.11330   45.10138   0.09389   -0.00345   0.97449   -0.22468   99.97864
63   0.09390   -0.00693   -0.11413   45.20374   0.09390   -0.00693   0.97412   -0.22629   99.95117
64   0.09383   -0.00516   -0.11361   45.15164   0.09383   -0.00516   0.97439   -0.22529   100.04578
65   0.09375   -0.00702   -0.11406   45.20641   0.09375   -0.00702   0.97418   -0.22617   100.04883
66   0.09378   -0.00827   -0.11466   45.24328   0.09378   -0.00827   0.97388   -0.22733   100.06714
67   0.09387   -0.01251   -0.11413   45.36796   0.09387   -0.01251   0.97412   -0.22633   100.02747
68   0.09394   -0.01691   -0.11404   45.49724   0.09394   -0.01691   0.97400   -0.22611   99.96948
69   0.09418   -0.01968   -0.11443   45.57898   0.09418   -0.01968   0.97385   -0.22691   99.96948
70   0.09422   -0.02368   -0.11417   45.69651   0.09422   -0.02368   0.97388   -0.22639   100.00000
71   0.09413   -0.02860   -0.11378   45.84095   0.09413   -0.02860   0.97388   -0.22562   100.04578
72   0.09426   -0.03198   -0.11440   45.94082   0.09426   -0.03198   0.97354   -0.22684   99.93896
73   0.09423   -0.03171   -0.11438   45.93278   0.09423   -0.03171   0.97351   -0.22678   99.93896
74   0.09419   -0.03088   -0.11434   45.90844   0.09419   -0.03088   0.97363   -0.22672   100.00000
75   0.09426   -0.03101   -0.11388   45.91180   0.09426   -0.03101   0.97388   -0.22584   99.95117
76   0.09428   -0.03040   -0.11379   45.89389   0.09428   -0.03040   0.97385   -0.22565   99.93896
77   0.09430   -0.02881   -0.11466   45.84754   0.09430   -0.02881   0.97351   -0.22733   99.89319
78   0.09419   -0.02683   -0.11425   45.78904   0.09419   -0.02683   0.97372   -0.22654   100.00916
79   0.09420   -0.02579   -0.11474   45.75863   0.09420   -0.02579   0.97360   -0.22752   99.88098
80   0.09401   -0.02429   -0.11498   45.71475   0.09401   -0.02429   0.97348   -0.22797   99.88098
81   0.09385   -0.02283   -0.11454   45.67154   0.09385   -0.02283   0.97366   -0.22709   99.96033
82   0.09396   -0.02167   -0.11431   45.63729   0.09396   -0.02167   0.97388   -0.22666   99.96033
83   0.09401   -0.01920   -0.11403   45.56450   0.09401   -0.01920   0.97406   -0.22611   99.86267
84   0.09389   -0.01645   -0.11352   45.48361   0.09389   -0.01645   0.97433   -0.22514   99.93896
85   0.09380   -0.01541   -0.11407   45.45322   0.09380   -0.01541   0.97409   -0.22620   100.00916
86   0.09386   -0.01465   -0.11403   45.43078   0.09386   -0.01465   0.97412   -0.22611   100.00000
87   0.09387   -0.01334   -0.11458   45.39229   0.09387   -0.01334   0.97388   -0.22718   99.95117
88   0.09392   -0.01382   -0.11484   45.40673   0.09392   -0.01382   0.97369   -0.22767   99.88098
89   0.09386   -0.01431   -0.11444   45.42099   0.09386   -0.01431   0.97394   -0.22691   99.96948
90   0.09400   -0.01505   -0.11484   45.44262   0.09400   -0.01505   0.97372   -0.22770   99.95117
91   0.09408   -0.01807   -0.11439   45.53140   0.09408   -0.01807   0.97388   -0.22681   100.00916
92   0.09407   -0.01770   -0.11433   45.52062   0.09407   -0.01770   0.97391   -0.22669   100.01831
93   0.09424   -0.02048   -0.11421   45.60224   0.09424   -0.02048   0.97397   -0.22648   99.93896
94   0.09425   -0.02216   -0.11428   45.65167   0.09425   -0.02216   0.97385   -0.22660   99.93896
95   0.09419   -0.02399   -0.11420   45.70553   0.09419   -0.02399   0.97382   -0.22645   100.04578
96   0.09424   -0.02533   -0.11439   45.74510   0.09424   -0.02533   0.97369   -0.22681   99.86267
97   0.09417   -0.02582   -0.11445   45.75948   0.09417   -0.02582   0.97366   -0.22694   99.89014
98   0.09426   -0.02576   -0.11550   45.75802   0.09426   -0.02576   0.97324   -0.22898   99.93896
99   0.09425   -0.02631   -0.11489   45.77401   0.09425   -0.02631   0.97345   -0.22779   100.02747
100   0.09420   -0.02676   -0.11498   45.78749   0.09420   -0.02676   0.97342   -0.22797   99.84436
101   0.09415   -0.02582   -0.11478   45.75960   0.09415   -0.02582   0.97351   -0.22758   99.88098
102   0.09396   -0.02545   -0.11454   45.74869   0.09396   -0.02545   0.97369   -0.22712   99.98779
103   0.09398   -0.02426   -0.11446   45.71365   0.09398   -0.02426   0.97375   -0.22697   99.92065
104   0.09402   -0.02206   -0.11442   45.64900   0.09402   -0.02206   0.97382   -0.22687   99.82300
105   0.09398   -0.02197   -0.11508   45.64651   0.09398   -0.02197   0.97351   -0.22816   99.92981
106   0.09386   -0.02210   -0.11461   45.64996   0.09386   -0.02210   0.97372   -0.22724   99.97864
107   0.09386   -0.02103   -0.11484   45.61858   0.09386   -0.02103   0.97366   -0.22770   99.91150
108   0.09389   -0.02048   -0.11481   45.60245   0.09389   -0.02048   0.97363   -0.22764   100.01831
109   0.09386   -0.01941   -0.11488   45.57103   0.09386   -0.01941   0.97363   -0.22776   99.96948
110   0.09393   -0.01981   -0.11447   45.58259   0.09393   -0.01981   0.97382   -0.22697   99.95117
111   0.09403   -0.01956   -0.11466   45.57547   0.09403   -0.01956   0.97372   -0.22733   99.90234
112   0.09410   -0.01852   -0.11419   45.54482   0.09410   -0.01852   0.97397   -0.22642   99.97864
113   0.09418   -0.01987   -0.11448   45.58437   0.09418   -0.01987   0.97385   -0.22700   99.96033
114   0.09421   -0.02118   -0.11467   45.62304   0.09421   -0.02118   0.97372   -0.22736   99.89014
115   0.09420   -0.02170   -0.11417   45.63819   0.09420   -0.02170   0.97388   -0.22639   100.02747
116   0.09417   -0.02344   -0.11488   45.68959   0.09417   -0.02344   0.97351   -0.22776   100.04578
117   0.09435   -0.02371   -0.11509   45.69772   0.09435   -0.02371   0.97345   -0.22819   99.87183
118   0.09428   -0.02408   -0.11483   45.70840   0.09428   -0.02408   0.97357   -0.22767   99.93896
119   0.09426   -0.02512   -0.11507   45.73907   0.09426   -0.02512   0.97336   -0.22813   100.03662
120   0.09428   -0.02625   -0.11459   45.77207   0.09428   -0.02625   0.97363   -0.22721   99.96948
121   0.09420   -0.02728   -0.11415   45.80240   0.09420   -0.02728   0.97385   -0.22636   99.93896
122   0.09412   -0.02744   -0.11438   45.80698   0.09412   -0.02744   0.97372   -0.22681   100.01831
123   0.09395   -0.02625   -0.11475   45.77214   0.09395   -0.02625   0.97354   -0.22752   100.04578
124   0.09397   -0.02673   -0.11488   45.78659   0.09397   -0.02673   0.97342   -0.22776   99.93896
125   0.09396   -0.02542   -0.11466   45.74791   0.09396   -0.02542   0.97354   -0.22733   99.93896
126   0.09391   -0.02414   -0.11514   45.71028   0.09391   -0.02414   0.97345   -0.22828   99.96033
127   0.09391   -0.02350   -0.11494   45.69139   0.09391   -0.02350   0.97351   -0.22788   99.97864
128   0.09387   -0.02234   -0.11531   45.65734   0.09387   -0.02234   0.97342   -0.22861   99.92065
129   0.09391   -0.02213   -0.11465   45.65086   0.09391   -0.02213   0.97372   -0.22733   99.91150
130   0.09388   -0.02185   -0.11456   45.64278   0.09388   -0.02185   0.97372   -0.22715   99.98779
131   0.09399   -0.02017   -0.11469   45.59342   0.09399   -0.02017   0.97372   -0.22739   99.92065
132   0.09398   -0.02057   -0.11526   45.60522   0.09398   -0.02057   0.97351   -0.22852   99.96033
133   0.09406   -0.01978   -0.11486   45.58182   0.09406   -0.01978   0.97360   -0.22773   100.02747
134   0.09415   -0.01862   -0.11487   45.54766   0.09415   -0.01862   0.97369   -0.22776   99.88098
135   0.09417   -0.01938   -0.11467   45.57008   0.09417   -0.01938   0.97372   -0.22736   99.92981
136   0.09415   -0.02008   -0.11529   45.59093   0.09415   -0.02008   0.97339   -0.22855   99.96948
137   0.09412   -0.01981   -0.11482   45.58272   0.09412   -0.01981   0.97360   -0.22764   100.00916
138   0.09429   -0.02023   -0.11527   45.59540   0.09429   -0.02023   0.97342   -0.22852   99.89014
139   0.09424   -0.02081   -0.11517   45.61242   0.09424   -0.02081   0.97348   -0.22834   99.96033
140   0.09423   -0.02136   -0.11536   45.62865   0.09423   -0.02136   0.97336   -0.22871   100.01831
141   0.09422   -0.02310   -0.11571   45.67998   0.09422   -0.02310   0.97314   -0.22938   99.96033
142   0.09427   -0.02295   -0.11509   45.67532   0.09427   -0.02295   0.97339   -0.22816   99.95117
143   0.09421   -0.02243   -0.11600   45.66028   0.09421   -0.02243   0.97305   -0.22996   99.88098
144   0.09388   -0.02310   -0.11562   45.67995   0.09388   -0.02310   0.97317   -0.22919   100.06714
145   0.09389   -0.02268   -0.11565   45.66732   0.09389   -0.02268   0.97327   -0.22929   99.93896
146   0.09399   -0.02377   -0.11505   45.69953   0.09399   -0.02377   0.97342   -0.22810   99.90234
147   0.09393   -0.02426   -0.11616   45.71423   0.09393   -0.02426   0.97296   -0.23026   99.92981
148   0.09387   -0.02399   -0.11560   45.70592   0.09387   -0.02399   0.97327   -0.22919   99.95117
