Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:58:27 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
61   0.09271   -0.20600   -84.46757   0.67967   0.09271   -0.20600   -0.04028   0.97784   96.74072
62   0.09278   -0.20777   -84.28275   0.67861   0.09278   -0.20777   -0.04202   0.97739   96.75293
63   0.09277   -0.20734   -84.65708   0.67911   0.09277   -0.20734   -0.03912   0.97763   96.67358
64   0.09273   -0.20728   -84.62704   0.67912   0.09273   -0.20728   -0.03934   0.97760   96.82007
65   0.09271   -0.20359   -84.68110   0.68108   0.09271   -0.20359   -0.03824   0.97839   96.78955
66   0.09285   -0.20667   -84.81594   0.67957   0.09285   -0.20667   -0.03781   0.97781   96.70410
67   0.09288   -0.20725   -84.93226   0.67935   0.09288   -0.20725   -0.03705   0.97769   96.71631
68   0.09296   -0.20820   -84.77998   0.67876   0.09296   -0.20820   -0.03836   0.97748   96.74683
69   0.09298   -0.20753   -84.69831   0.67904   0.09298   -0.20753   -0.03885   0.97757   96.75903
70   0.09303   -0.20698   -84.85612   0.67943   0.09303   -0.20698   -0.03757   0.97763   96.74988
71   0.09310   -0.20600   -84.57802   0.67976   0.09310   -0.20600   -0.03946   0.97790   96.66443
72   0.09310   -0.20716   -84.68507   0.67922   0.09310   -0.20716   -0.03888   0.97757   96.73462
73   0.09316   -0.20753   -84.76754   0.67910   0.09316   -0.20753   -0.03833   0.97766   96.76514
74   0.09312   -0.20704   -84.70649   0.67930   0.09312   -0.20704   -0.03870   0.97766   96.67358
75   0.09303   -0.20667   -84.85279   0.67959   0.09303   -0.20667   -0.03754   0.97775   96.78040
76   0.09318   -0.20460   -84.66953   0.68055   0.09318   -0.20460   -0.03851   0.97821   96.69800
77   0.09300   -0.20527   -84.70303   0.68022   0.09300   -0.20527   -0.03839   0.97806   96.74988
78   0.09283   -0.20557   -84.48912   0.67991   0.09283   -0.20557   -0.04004   0.97790   96.77429
79   0.09280   -0.20569   -84.43909   0.67980   0.09280   -0.20569   -0.04044   0.97781   96.77124
80   0.09286   -0.20463   -84.55074   0.68045   0.09286   -0.20463   -0.03940   0.97815   96.72546
81   0.09282   -0.20496   -84.42793   0.68019   0.09282   -0.20496   -0.04038   0.97806   96.65527
82   0.09266   -0.20554   -84.47193   0.67991   0.09266   -0.20554   -0.04016   0.97794   96.80786
83   0.09278   -0.20603   -84.49289   0.67968   0.09278   -0.20603   -0.04010   0.97784   96.70105
84   0.09274   -0.20566   -84.40965   0.67981   0.09274   -0.20566   -0.04065   0.97794   96.65222
85   0.09263   -0.20670   -84.77168   0.67953   0.09263   -0.20670   -0.03815   0.97778   96.70715
86   0.09268   -0.20588   -84.77586   0.67996   0.09268   -0.20588   -0.03797   0.97803   96.72852
87   0.09276   -0.20573   -84.88723   0.68011   0.09276   -0.20573   -0.03711   0.97803   96.67053
88   0.09272   -0.20649   -84.75411   0.67962   0.09272   -0.20649   -0.03824   0.97781   96.72852
89   0.09293   -0.20594   -84.85542   0.67998   0.09293   -0.20594   -0.03739   0.97797   96.75598
90   0.09307   -0.20609   -84.91667   0.67993   0.09307   -0.20609   -0.03696   0.97787   96.73157
91   0.09310   -0.20536   -84.67655   0.68015   0.09310   -0.20536   -0.03861   0.97803   96.62476
92   0.09304   -0.20511   -84.84758   0.68039   0.09304   -0.20511   -0.03729   0.97806   96.74072
93   0.09306   -0.20646   -84.83938   0.67970   0.09306   -0.20646   -0.03760   0.97787   96.68274
94   0.09302   -0.20496   -84.67060   0.68035   0.09302   -0.20496   -0.03858   0.97806   96.70105
95   0.09289   -0.20557   -84.81764   0.68014   0.09289   -0.20557   -0.03760   0.97803   96.77429
96   0.09305   -0.20560   -84.33440   0.67978   0.09305   -0.20560   -0.04120   0.97790   96.69189
97   0.09313   -0.20316   -84.42121   0.68112   0.09313   -0.20316   -0.04007   0.97842   96.63696
98   0.09299   -0.20212   -84.55162   0.68175   0.09299   -0.20212   -0.03891   0.97867   96.77734
99   0.09282   -0.20118   -84.32999   0.68208   0.09282   -0.20118   -0.04035   0.97882   96.72241
100   0.09278   -0.20035   -84.27793   0.68247   0.09278   -0.20035   -0.04056   0.97897   96.74072
101   0.09285   -0.19971   -84.34840   0.68286   0.09285   -0.19971   -0.03992   0.97916   96.65527
102   0.09280   -0.19901   -84.11392   0.68305   0.09280   -0.19901   -0.04147   0.97922   96.75293
103   0.09272   -0.19822   -84.04034   0.68340   0.09272   -0.19822   -0.04184   0.97931   96.78040
104   0.09289   -0.19874   -84.41021   0.68341   0.09289   -0.19874   -0.03928   0.97934   96.69800
105   0.09282   -0.19898   -84.42958   0.68331   0.09282   -0.19898   -0.03919   0.97940   96.71326
106   0.09273   -0.19919   -84.39738   0.68317   0.09273   -0.19919   -0.03946   0.97931   96.74072
107   0.09267   -0.20264   -83.99329   0.68107   0.09267   -0.20264   -0.04312   0.97845   96.82617
108   0.09275   -0.20289   -84.21091   0.68110   0.09275   -0.20289   -0.04157   0.97842   96.70105
109   0.09274   -0.20103   -84.02127   0.68192   0.09274   -0.20103   -0.04257   0.97870   96.73157
110   0.09288   -0.19980   -84.34251   0.68282   0.09288   -0.19980   -0.03998   0.97922   96.70715
111   0.09300   -0.19944   -84.31975   0.68298   0.09300   -0.19944   -0.04007   0.97916   96.71021
112   0.09300   -0.19990   -84.55561   0.68291   0.09300   -0.19990   -0.03845   0.97919   96.78040
113   0.09305   -0.19855   -84.62161   0.68366   0.09305   -0.19855   -0.03772   0.97955   96.77124
114   0.09315   -0.19926   -84.43285   0.68317   0.09315   -0.19926   -0.03922   0.97934   96.59729
115   0.09315   -0.20005   -84.61026   0.68287   0.09315   -0.20005   -0.03809   0.97913   96.69495
116   0.09305   -0.20099   -84.60985   0.68237   0.09305   -0.20099   -0.03827   0.97891   96.73157
117   0.09306   -0.20054   -84.80846   0.68275   0.09306   -0.20054   -0.03674   0.97913   96.73157
118   0.09312   -0.20157   -84.72973   0.68215   0.09312   -0.20157   -0.03751   0.97879   96.69495
119   0.09302   -0.20048   -84.42811   0.68252   0.09302   -0.20048   -0.03949   0.97903   96.69189
