Sampling rate: 10000.000 samples/sec
Screen size: 5000 samples
DOP average: 1 SOPsamples
Start time: 14:51:46 4/18/2022
Interval: 0.000100000 sec
(Waveform type: 1,3,0,6)
Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
63   0.09354   -0.20920   53.95691   0.41145   0.09354   -0.20920   0.64718   0.73318   98.16895
64   0.09350   -0.20829   53.92217   0.41178   0.09350   -0.20829   0.64702   0.73370   98.25439
65   0.09356   -0.20914   53.94735   0.41112   0.09356   -0.20914   0.64772   0.73275   98.21777
66   0.09357   -0.21058   54.00834   0.41101   0.09357   -0.21058   0.64745   0.73263   98.15063
67   0.09347   -0.20884   53.94421   0.41167   0.09347   -0.20884   0.64702   0.73354   98.15674
68   0.09354   -0.21046   54.01817   0.41177   0.09354   -0.21046   0.64632   0.73366   98.21777
69   0.09358   -0.20957   53.98824   0.41223   0.09358   -0.20957   0.64589   0.73428   98.26660
70   0.09368   -0.21152   54.09024   0.41298   0.09368   -0.21152   0.64409   0.73528   98.10181
71   0.09348   -0.21091   54.05330   0.41248   0.09348   -0.21091   0.64504   0.73458   98.27576
72   0.09341   -0.21165   54.08348   0.41240   0.09341   -0.21165   0.64498   0.73452   98.27271
73   0.09338   -0.21207   54.11591   0.41305   0.09338   -0.21207   0.64382   0.73540   98.16589
74   0.09339   -0.21131   54.07684   0.41280   0.09339   -0.21131   0.64446   0.73507   98.18420
75   0.09333   -0.21000   54.03013   0.41339   0.09333   -0.21000   0.64400   0.73589   98.11401
76   0.09325   -0.21146   54.08819   0.41303   0.09325   -0.21146   0.64406   0.73537   98.22998
77   0.09326   -0.21018   54.03109   0.41296   0.09326   -0.21018   0.64449   0.73519   98.19336
78   0.09321   -0.21192   54.10374   0.41273   0.09321   -0.21192   0.64428   0.73489   98.22083
79   0.09320   -0.21021   54.02233   0.41253   0.09320   -0.21021   0.64525   0.73470   98.21167
80   0.09316   -0.21076   54.03119   0.41171   0.09316   -0.21076   0.64626   0.73351   98.09265
81   0.09314   -0.20923   53.97001   0.41203   0.09314   -0.20923   0.64626   0.73394   98.09265
82   0.09327   -0.20893   53.95025   0.41171   0.09327   -0.20893   0.64684   0.73351   98.11401
83   0.09349   -0.20859   53.92771   0.41134   0.09349   -0.20859   0.64754   0.73302   98.13843
84   0.09349   -0.20920   53.97156   0.41220   0.09349   -0.20920   0.64605   0.73421   98.25439
85   0.09356   -0.20808   53.91872   0.41207   0.09356   -0.20808   0.64663   0.73406   98.18726
86   0.09368   -0.20948   53.97069   0.41156   0.09368   -0.20948   0.64696   0.73336   98.10181
87   0.09360   -0.20872   53.95473   0.41249   0.09360   -0.20872   0.64583   0.73470   98.19031
88   0.09352   -0.20875   53.95160   0.41223   0.09352   -0.20875   0.64617   0.73428   98.24524
89   0.09354   -0.20966   53.99789   0.41250   0.09354   -0.20966   0.64544   0.73464   98.20862
90   0.09376   -0.21000   54.01654   0.41269   0.09376   -0.21000   0.64504   0.73489   98.12317
91   0.09368   -0.20930   53.98119   0.41250   0.09368   -0.20930   0.64559   0.73467   98.06213
92   0.09346   -0.20957   54.00177   0.41287   0.09346   -0.20957   0.64486   0.73510   98.25439
93   0.09345   -0.21094   54.05692   0.41261   0.09345   -0.21094   0.64486   0.73479   98.14758
94   0.09344   -0.21021   54.03271   0.41303   0.09344   -0.21021   0.64446   0.73537   98.14758
95   0.09339   -0.21046   54.05656   0.41365   0.09339   -0.21046   0.64339   0.73620   98.11707
96   0.09331   -0.21113   54.08275   0.41347   0.09331   -0.21113   0.64345   0.73595   98.25134
97   0.09343   -0.21174   54.10889   0.41343   0.09343   -0.21174   0.64333   0.73589   98.17505
98   0.09329   -0.21241   54.12737   0.41287   0.09329   -0.21241   0.64397   0.73513   98.13232
99   0.09319   -0.21100   54.07503   0.41336   0.09319   -0.21100   0.64367   0.73580   98.19031
100   0.09315   -0.21100   54.06619   0.41293   0.09315   -0.21100   0.64434   0.73522   98.13232
101   0.09326   -0.21104   54.07505   0.41335   0.09326   -0.21104   0.64376   0.73586   98.16284
102   0.09327   -0.21079   54.06202   0.41322   0.09327   -0.21079   0.64400   0.73565   98.07434
103   0.09332   -0.21134   54.07284   0.41252   0.09332   -0.21134   0.64486   0.73467   98.24219
104   0.09339   -0.20951   53.98540   0.41219   0.09339   -0.20951   0.64592   0.73418   98.19336
105   0.09347   -0.21003   54.01498   0.41254   0.09347   -0.21003   0.64525   0.73467   98.19641
