Index      S0(mW)      S1        Azimuth      Elipticity      S0(mW)      S1      S2      S3      DOP
62   0.09268   0.09272   -39.07780   -0.55106   0.09268   0.09272   -0.44209   -0.89218   100.52185
63   0.09280   0.09214   -39.11262   -0.55117   0.09280   0.09214   -0.44200   -0.89227   100.54016
64   0.09298   0.09275   -39.08226   -0.55081   0.09298   0.09275   -0.44258   -0.89203   100.39368
65   0.09290   0.09253   -39.10775   -0.55031   0.09290   0.09253   -0.44353   -0.89154   100.50964
66   0.09288   0.09284   -39.07261   -0.55096   0.09288   0.09284   -0.44227   -0.89212   100.58899
67   0.09300   0.09299   -39.06354   -0.55092   0.09300   0.09299   -0.44230   -0.89206   100.44250
68   0.09313   0.09122   -39.18902   -0.55045   0.09313   0.09122   -0.44353   -0.89166   100.41199
69   0.09307   0.09143   -39.15623   -0.55128   0.09307   0.09143   -0.44200   -0.89245   100.50049
70   0.09304   0.09168   -39.13948   -0.55130   0.09304   0.09168   -0.44188   -0.89239   100.54932
71   0.09307   0.09168   -39.13791   -0.55137   0.09307   0.09168   -0.44176   -0.89248   100.44250
72   0.09306   0.09125   -39.17153   -0.55114   0.09306   0.09125   -0.44230   -0.89233   100.49133
73   0.09289   0.08994   -39.25542   -0.55117   0.09289   0.08994   -0.44249   -0.89230   100.57068
74   0.09283   0.09030   -39.22140   -0.55160   0.09283   0.09030   -0.44160   -0.89267   100.47302
75   0.09287   0.08963   -39.27093   -0.55135   0.09287   0.08963   -0.44221   -0.89248   100.46082
76   0.09274   0.08866   -39.33934   -0.55113   0.09274   0.08866   -0.44282   -0.89227   100.54016
77   0.09273   0.08860   -39.33438   -0.55151   0.09273   0.08860   -0.44212   -0.89261   100.49133
78   0.09268   0.08875   -39.32106   -0.55165   0.09268   0.08875   -0.44182   -0.89270   100.45166
79   0.09267   0.08942   -39.28614   -0.55127   0.09267   0.08942   -0.44237   -0.89233   100.51270
80   0.09266   0.08866   -39.31300   -0.55229   0.09266   0.08866   -0.44072   -0.89334   100.52185
81   0.09278   0.08896   -39.29509   -0.55219   0.09278   0.08896   -0.44081   -0.89322   100.38452
82   0.09276   0.08991   -39.23758   -0.55200   0.09276   0.08991   -0.44093   -0.89297   100.47302
83   0.09262   0.08881   -39.31611   -0.55170   0.09262   0.08881   -0.44172   -0.89273   100.58289
84   0.09282   0.08896   -39.30354   -0.55182   0.09282   0.08896   -0.44148   -0.89288   100.50049
85   0.09306   0.08808   -39.35608   -0.55204   0.09306   0.08808   -0.44127   -0.89309   100.34180
86   0.09299   0.08789   -39.37207   -0.55186   0.09299   0.08789   -0.44163   -0.89294   100.49133
87   0.09292   0.08762   -39.38581   -0.55204   0.09292   0.08762   -0.44136   -0.89309   100.59814
88   0.09302   0.08768   -39.38048   -0.55210   0.09302   0.08768   -0.44124   -0.89312   100.48218
89   0.09301   0.08655   -39.43603   -0.55291   0.09301   0.08655   -0.44002   -0.89392   100.39368
90   0.09297   0.08725   -39.39394   -0.55273   0.09297   0.08725   -0.44017   -0.89370   100.50964
91   0.09307   0.08832   -39.32440   -0.55273   0.09307   0.08832   -0.43995   -0.89367   100.51880
92   0.09307   0.08963   -39.24425   -0.55250   0.09307   0.08963   -0.44011   -0.89349   100.41199
93   0.09309   0.08664   -39.43142   -0.55284   0.09309   0.08664   -0.44011   -0.89383   100.50049
94   0.09301   0.08756   -39.36646   -0.55308   0.09301   0.08756   -0.43950   -0.89407   100.54016
95   0.09295   0.08689   -39.41914   -0.55267   0.09295   0.08689   -0.44035   -0.89364   100.44250
96   0.09286   0.08780   -39.36412   -0.55248   0.09286   0.08780   -0.44053   -0.89349   100.46082
97   0.09283   0.08667   -39.42121   -0.55319   0.09283   0.08667   -0.43944   -0.89407   100.50049
98   0.09274   0.08649   -39.42780   -0.55344   0.09274   0.08649   -0.43904   -0.89438   100.47302
99   0.09282   0.08521   -39.53541   -0.55234   0.09282   0.08521   -0.44127   -0.89334   100.43335
100   0.09269   0.08591   -39.50114   -0.55183   0.09269   0.08591   -0.44206   -0.89288   100.52185
101   0.09266   0.08533   -39.53515   -0.55200   0.09266   0.08533   -0.44188   -0.89303   100.57068
102   0.09286   0.08451   -39.57936   -0.55242   0.09286   0.08451   -0.44127   -0.89340   100.42114
103   0.09278   0.08661   -39.47295   -0.55105   0.09278   0.08661   -0.44334   -0.89218   100.43335
104   0.09267   0.08496   -39.55731   -0.55209   0.09267   0.08496   -0.44182   -0.89319   100.58289
105   0.09273   0.08625   -39.46751   -0.55238   0.09273   0.08625   -0.44102   -0.89340   100.51270
106   0.09289   0.08591   -39.49112   -0.55230   0.09289   0.08591   -0.44124   -0.89334   100.38147
107   0.09290   0.08719   -39.40155   -0.55258   0.09290   0.08719   -0.44047   -0.89361   100.50049
108   0.09295   0.08805   -39.34312   -0.55268   0.09295   0.08805   -0.44008   -0.89361   100.59814
109   0.09308   0.08771   -39.36604   -0.55266   0.09308   0.08771   -0.44023   -0.89367   100.44250
110   0.09314   0.08985   -39.22856   -0.55258   0.09314   0.08985   -0.43992   -0.89358   100.41199
111   0.09301   0.08982   -39.24368   -0.55200   0.09301   0.08982   -0.44096   -0.89300   100.54932
112   0.09309   0.09079   -39.17220   -0.55236   0.09309   0.09079   -0.44014   -0.89340   100.51880
113   0.09311   0.09049   -39.21195   -0.55153   0.09311   0.09049   -0.44176   -0.89270   100.42114
114   0.09308   0.09070   -39.22002   -0.55055   0.09308   0.09070   -0.44343   -0.89172   100.47913
115   0.09296   0.08918   -39.30096   -0.55133   0.09296   0.08918   -0.44234   -0.89245   100.54932
116   0.09293   0.08933   -39.29950   -0.55097   0.09293   0.08933   -0.44298   -0.89215   100.48218
117   0.09287   0.08982   -39.26839   -0.55094   0.09287   0.08982   -0.44292   -0.89209   100.47302
118   0.09277   0.08902   -39.32761   -0.55060   0.09277   0.08902   -0.44371   -0.89178   100.54016
119   0.09279   0.08893   -39.32987   -0.55074   0.09279   0.08893   -0.44343   -0.89187   100.49133
120   0.09275   0.08881   -39.33821   -0.55073   0.09275   0.08881   -0.44349   -0.89187   100.43335
121   0.09267   0.08832   -39.35871   -0.55124   0.09267   0.08832   -0.44270   -0.89242   100.52185
122   0.09262   0.09000   -39.25278   -0.55111   0.09262   0.09000   -0.44258   -0.89227   100.55237
123   0.09267   0.08734   -39.41463   -0.55154   0.09267   0.08734   -0.44230   -0.89257   100.43335
124   0.09274   0.08896   -39.30890   -0.55160   0.09274   0.08896   -0.44191   -0.89270   100.41199
125   0.09267   0.08573   -39.51368   -0.55182   0.09267   0.08573   -0.44215   -0.89291   100.60120
126   0.09280   0.08689   -39.42931   -0.55223   0.09280   0.08689   -0.44118   -0.89331   100.53101
127   0.09290   0.08570   -39.51596   -0.55180   0.09290   0.08570   -0.44218   -0.89288   100.36316
128   0.09295   0.08615   -39.51067   -0.55070   0.09295   0.08615   -0.44411   -0.89190   100.49133
129   0.09289   0.08518   -39.54873   -0.55183   0.09289   0.08518   -0.44221   -0.89288   100.61035
130   0.09298   0.08628   -39.47902   -0.55177   0.09298   0.08628   -0.44212   -0.89285   100.46082
131   0.09308   0.08631   -39.47897   -0.55168   0.09308   0.08631   -0.44227   -0.89276   100.43030
132   0.09299   0.08673   -39.46312   -0.55114   0.09299   0.08673   -0.44316   -0.89224   100.54016
133   0.09300   0.08686   -39.43834   -0.55190   0.09300   0.08686   -0.44176   -0.89294   100.51880
134   0.09305   0.08695   -39.44124   -0.55151   0.09305   0.08695   -0.44246   -0.89261   100.43030
135   0.09305   0.08887   -39.31919   -0.55141   0.09305   0.08887   -0.44227   -0.89254   100.46082
136   0.09299   0.08768   -39.39031   -0.55168   0.09299   0.08768   -0.44203   -0.89282   100.46082
137   0.09298   0.08771   -39.37136   -0.55242   0.09298   0.08771   -0.44066   -0.89343   100.45166
