Index      S0(mW)      S1      Elipticity        Azimuth      S0(mW)      S1      S2      S3      DOP
65   0.09389   -0.07938   0.14360   47.37365   0.09389   -0.07938   0.95584   0.28330   99.16992
66   0.09404   -0.07993   0.14394   47.39061   0.09404   -0.07993   0.95560   0.28394   99.16992
67   0.09409   -0.07974   0.14449   47.38584   0.09409   -0.07974   0.95532   0.28501   99.18213
68   0.09419   -0.07971   0.14392   47.38417   0.09419   -0.07971   0.95563   0.28391   99.19128
69   0.09429   -0.07907   0.14461   47.36591   0.09429   -0.07907   0.95529   0.28523   99.14246
70   0.09419   -0.07849   0.14425   47.34797   0.09419   -0.07849   0.95557   0.28455   99.24927
71   0.09408   -0.07816   0.14467   47.33849   0.09408   -0.07816   0.95535   0.28535   99.30725
72   0.09422   -0.07846   0.14462   47.34751   0.09422   -0.07846   0.95538   0.28526   99.21265
73   0.09415   -0.07736   0.14441   47.31427   0.09415   -0.07736   0.95560   0.28486   99.20959
74   0.09409   -0.07648   0.14411   47.28732   0.09409   -0.07648   0.95584   0.28428   99.21875
75   0.09418   -0.07718   0.14425   47.30859   0.09418   -0.07718   0.95569   0.28455   99.22180
76   0.09407   -0.07846   0.14506   47.34811   0.09407   -0.07846   0.95514   0.28611   99.15161
77   0.09383   -0.07816   0.14446   47.33827   0.09383   -0.07816   0.95544   0.28495   99.27673
78   0.09376   -0.07999   0.14463   47.39333   0.09376   -0.07999   0.95523   0.28529   99.28589
79   0.09383   -0.08106   0.14537   47.42630   0.09383   -0.08106   0.95477   0.28672   99.22791
80   0.09384   -0.08203   0.14487   47.45500   0.09384   -0.08203   0.95492   0.28574   99.12109
81   0.09363   -0.08451   0.14482   47.52900   0.09363   -0.08451   0.95477   0.28565   99.27368
82   0.09376   -0.08716   0.14537   47.60969   0.09376   -0.08716   0.95416   0.28669   99.21875
83   0.09377   -0.08637   0.14549   47.58598   0.09377   -0.08637   0.95419   0.28694   99.19739
84   0.09376   -0.08878   0.14595   47.65911   0.09376   -0.08878   0.95370   0.28782   99.21875
85   0.09373   -0.08805   0.14528   47.63629   0.09373   -0.08805   0.95407   0.28651   99.24622
86   0.09382   -0.08881   0.14549   47.65943   0.09382   -0.08881   0.95392   0.28690   99.25537
87   0.09392   -0.08899   0.14513   47.66403   0.09392   -0.08899   0.95422   0.28626   99.20959
88   0.09400   -0.08957   0.14503   47.68138   0.09400   -0.08957   0.95419   0.28605   99.10278
89   0.09404   -0.08994   0.14606   47.69399   0.09404   -0.08994   0.95358   0.28803   99.20044
90   0.09408   -0.08930   0.14617   47.67516   0.09408   -0.08930   0.95349   0.28822   99.14246
91   0.09404   -0.08747   0.14586   47.61961   0.09404   -0.08747   0.95386   0.28764   99.21875
92   0.09399   -0.08621   0.14633   47.58267   0.09399   -0.08621   0.95373   0.28855   99.24011
93   0.09417   -0.08536   0.14633   47.55721   0.09417   -0.08536   0.95373   0.28852   99.12415
94   0.09414   -0.08451   0.14598   47.53069   0.09414   -0.08451   0.95413   0.28788   99.20959
95   0.09411   -0.08683   0.14656   47.60160   0.09411   -0.08683   0.95346   0.28895   99.20959
96   0.09421   -0.08509   0.14660   47.54926   0.09421   -0.08509   0.95364   0.28904   99.18213
97   0.09418   -0.08533   0.14717   47.55744   0.09418   -0.08533   0.95331   0.29014   99.09363
98   0.09393   -0.08652   0.14753   47.59374   0.09393   -0.08652   0.95300   0.29084   99.17908
99   0.09385   -0.08649   0.14783   47.59324   0.09385   -0.08649   0.95285   0.29142   99.18823
100   0.09381   -0.08560   0.14769   47.56669   0.09381   -0.08560   0.95291   0.29112   99.25537
101   0.09390   -0.08582   0.14731   47.57240   0.09390   -0.08582   0.95315   0.29041   99.16992
102   0.09378   -0.08698   0.14731   47.60714   0.09378   -0.08698   0.95309   0.29041   99.27673
103   0.09376   -0.08634   0.14756   47.58853   0.09376   -0.08634   0.95291   0.29087   99.24622
104   0.09383   -0.08594   0.14744   47.57604   0.09383   -0.08594   0.95315   0.29069   99.12109
105   0.09381   -0.08441   0.14683   47.52942   0.09381   -0.08441   0.95358   0.28950   99.17908
106   0.09381   -0.08249   0.14711   47.47225   0.09381   -0.08249   0.95352   0.29002   99.22791
107   0.09381   -0.08390   0.14731   47.51451   0.09381   -0.08390   0.95337   0.29041   99.27673
108   0.09386   -0.08280   0.14766   47.48198   0.09386   -0.08280   0.95328   0.29109   99.19739
109   0.09399   -0.08063   0.14797   47.41757   0.09399   -0.08063   0.95318   0.29167   99.16992
110   0.09401   -0.08304   0.14834   47.49038   0.09401   -0.08304   0.95285   0.29240   99.16992
111   0.09407   -0.08432   0.14656   47.52620   0.09407   -0.08432   0.95376   0.28898   99.13330
112   0.09403   -0.08377   0.14494   47.50735   0.09403   -0.08377   0.95471   0.28587   99.24011
113   0.09404   -0.08417   0.14536   47.51981   0.09404   -0.08417   0.95447   0.28669   99.20959
114   0.09420   -0.08780   0.14543   47.62902   0.09420   -0.08780   0.95407   0.28681   99.15161
115   0.09416   -0.08811   0.14337   47.63476   0.09416   -0.08811   0.95529   0.28288   99.22180
116   0.09408   -0.08969   0.14610   47.68680   0.09408   -0.08969   0.95355   0.28809   99.25842
117   0.09414   -0.09024   0.14717   47.70514   0.09414   -0.09024   0.95285   0.29014   99.11194
118   0.09415   -0.08924   0.14691   47.67462   0.09415   -0.08924   0.95303   0.28962   99.12415
119   0.09392   -0.08667   0.14685   47.59713   0.09392   -0.08667   0.95343   0.28956   99.23706
120   0.09377   -0.08679   0.14759   47.60201   0.09377   -0.08679   0.95297   0.29096   99.25537
121   0.09400   -0.08307   0.14650   47.48867   0.09400   -0.08307   0.95386   0.28886   99.13025
122   0.09396   -0.07901   0.14508   47.36470   0.09396   -0.07901   0.95505   0.28614   99.18823
123   0.09385   -0.07221   0.14683   47.16286   0.09385   -0.07221   0.95459   0.28950   99.26758
124   0.09387   -0.06845   0.14694   47.05036   0.09387   -0.06845   0.95480   0.28971   99.19739
125   0.09382   -0.06647   0.14628   46.99018   0.09382   -0.06647   0.95526   0.28843   99.15771
126   0.09382   -0.06464   0.14645   46.93534   0.09382   -0.06464   0.95535   0.28877   99.24622
127   0.09372   -0.06409   0.14714   46.91968   0.09372   -0.06409   0.95499   0.29008   99.25537
128   0.09375   -0.06690   0.14767   47.00453   0.09375   -0.06690   0.95450   0.29112   99.17908
129   0.09388   -0.06867   0.14657   47.05621   0.09388   -0.06867   0.95505   0.28901   99.19739
130   0.09397   -0.07083   0.14577   47.12039   0.09397   -0.07083   0.95526   0.28745   99.25842
131   0.09410   -0.07334   0.14594   47.19564   0.09410   -0.07334   0.95499   0.28779   99.17297
132   0.09402   -0.07477   0.14652   47.23941   0.09402   -0.07477   0.95456   0.28889   99.24927
133   0.09407   -0.07819   0.14594   47.34134   0.09407   -0.07819   0.95456   0.28776   99.27673
134   0.09402   -0.07913   0.14659   47.37067   0.09402   -0.07913   0.95410   0.28901   99.22791
135   0.09412   -0.07932   0.14694   47.37636   0.09412   -0.07932   0.95401   0.28971   99.18213
136   0.09410   -0.08228   0.14662   47.46502   0.09410   -0.08228   0.95386   0.28907   99.23096
137   0.09410   -0.08240   0.14609   47.46763   0.09410   -0.08240   0.95425   0.28809   99.28894
138   0.09426   -0.08484   0.14580   47.54070   0.09426   -0.08484   0.95413   0.28751   99.19128
139   0.09415   -0.08350   0.14528   47.49949   0.09415   -0.08350   0.95459   0.28654   99.17297
140   0.09388   -0.08637   0.14533   47.58565   0.09388   -0.08637   0.95431   0.28663   99.29504
141   0.09379   -0.08560   0.14550   47.56326   0.09379   -0.08560   0.95419   0.28694   99.18823
142   0.09381   -0.08563   0.14733   47.56686   0.09381   -0.08563   0.95318   0.29044   99.15771
143   0.09384   -0.08460   0.14687   47.53511   0.09384   -0.08460   0.95349   0.28956   99.14856
144   0.09380   -0.08155   0.14677   47.44310   0.09380   -0.08155   0.95389   0.28938   99.30420
145   0.09386   -0.08011   0.14733   47.40102   0.09386   -0.08011   0.95361   0.29044   99.19739
146   0.09388   -0.07859   0.14692   47.35437   0.09388   -0.07859   0.95407   0.28968   99.18823
147   0.09379   -0.07633   0.14525   47.28431   0.09379   -0.07633   0.95520   0.28648   99.19739
148   0.09384   -0.07752   0.14525   47.32021   0.09384   -0.07752   0.95502   0.28645   99.23706
149   0.09381   -0.07666   0.14563   47.29511   0.09381   -0.07666   0.95486   0.28718   99.17908
150   0.09383   -0.07599   0.14495   47.27380   0.09383   -0.07599   0.95541   0.28590   99.19739
151   0.09396   -0.07715   0.14500   47.30879   0.09396   -0.07715   0.95523   0.28599   99.21875
152   0.09411   -0.07624   0.14602   47.28267   0.09411   -0.07624   0.95474   0.28794   99.15161
153   0.09415   -0.07666   0.14601   47.29555   0.09415   -0.07666   0.95468   0.28791   99.17297
154   0.09407   -0.07639   0.14566   47.28685   0.09407   -0.07639   0.95489   0.28724   99.19128
155   0.09411   -0.07779   0.14595   47.32936   0.09411   -0.07779   0.95462   0.28779   99.19128
156   0.09417   -0.07874   0.14614   47.35802   0.09417   -0.07874   0.95444   0.28816   99.14246
157   0.09413   -0.08002   0.14537   47.39539   0.09413   -0.08002   0.95477   0.28669   99.24011
158   0.09415   -0.08118   0.14448   47.42886   0.09415   -0.08118   0.95520   0.28498   99.20959
159   0.09419   -0.08176   0.14523   47.44705   0.09419   -0.08176   0.95483   0.28645   99.19128
160   0.09413   -0.08188   0.14545   47.45139   0.09413   -0.08188   0.95456   0.28684   99.16077
161   0.09399   -0.08170   0.14541   47.44586   0.09399   -0.08170   0.95459   0.28675   99.24927
162   0.09393   -0.08377   0.14564   47.50839   0.09393   -0.08377   0.95431   0.28721   99.22791
163   0.09391   -0.08383   0.14524   47.50957   0.09391   -0.08383   0.95456   0.28645   99.12109
164   0.09384   -0.08493   0.14565   47.54310   0.09384   -0.08493   0.95425   0.28724   99.19739
165   0.09378   -0.08499   0.14529   47.54451   0.09378   -0.08499   0.95441   0.28654   99.28589
166   0.09387   -0.08374   0.14478   47.50621   0.09387   -0.08374   0.95480   0.28556   99.18823
167   0.09386   -0.08353   0.14514   47.50024   0.09386   -0.08353   0.95465   0.28626   99.21875
168   0.09369   -0.08020   0.14425   47.39924   0.09369   -0.08020   0.95541   0.28455   99.29504
169   0.09376   -0.08078   0.14476   47.41750   0.09376   -0.08078   0.95502   0.28550   99.17908
170   0.09376   -0.07932   0.14531   47.37424   0.09376   -0.07932   0.95486   0.28657   99.19739
171   0.09372   -0.07871   0.14520   47.35561   0.09372   -0.07871   0.95505   0.28639   99.26453
172   0.09390   -0.07910   0.14529   47.36780   0.09390   -0.07910   0.95489   0.28654   99.25842
173   0.09404   -0.07797   0.14576   47.33467   0.09404   -0.07797   0.95468   0.28742   99.24011
174   0.09399   -0.07785   0.14611   47.33155   0.09399   -0.07785   0.95447   0.28809   99.20959
175   0.09403   -0.07794   0.14545   47.33324   0.09403   -0.07794   0.95489   0.28684   99.22791
176   0.09406   -0.07883   0.14577   47.36022   0.09406   -0.07883   0.95465   0.28745   99.20044
177   0.09420   -0.07718   0.14550   47.31043   0.09420   -0.07718   0.95492   0.28694   99.07532
178   0.09402   -0.07834   0.14481   47.34425   0.09402   -0.07834   0.95523   0.28562   99.30725
179   0.09408   -0.07871   0.14465   47.35493   0.09408   -0.07871   0.95532   0.28532   99.24927
180   0.09421   -0.08008   0.14549   47.39751   0.09421   -0.08008   0.95465   0.28690   99.18213
181   0.09414   -0.07999   0.14560   47.39486   0.09414   -0.07999   0.95462   0.28712   99.13330
182   0.09403   -0.08179   0.14539   47.44835   0.09403   -0.08179   0.95468   0.28675   99.33777
183   0.09409   -0.08310   0.14581   47.48839   0.09409   -0.08310   0.95431   0.28755   99.21875
184   0.09390   -0.08408   0.14517   47.51692   0.09390   -0.08408   0.95453   0.28629   99.21875
185   0.09379   -0.08371   0.14489   47.50546   0.09379   -0.08371   0.95474   0.28578   99.29504
186   0.09385   -0.08670   0.14474   47.59490   0.09385   -0.08670   0.95459   0.28550   99.27673
187   0.09382   -0.08521   0.14491   47.55038   0.09382   -0.08521   0.95459   0.28581   99.23706
188   0.09378   -0.08579   0.14556   47.56879   0.09378   -0.08579   0.95416   0.28706   99.17908
189   0.09374   -0.08509   0.14498   47.54675   0.09374   -0.08509   0.95459   0.28596   99.27673
190   0.09384   -0.08506   0.14552   47.54681   0.09384   -0.08506   0.95422   0.28697   99.23706
191   0.09376   -0.08490   0.14531   47.54178   0.09376   -0.08490   0.95441   0.28657   99.20654
192   0.09383   -0.08542   0.14547   47.55764   0.09383   -0.08542   0.95425   0.28687   99.26758
193   0.09386   -0.08383   0.14636   47.51133   0.09386   -0.08383   0.95389   0.28858   99.27673
194   0.09392   -0.08533   0.14551   47.55483   0.09392   -0.08533   0.95428   0.28697   99.26758
195   0.09408   -0.08383   0.14536   47.50973   0.09408   -0.08383   0.95450   0.28669   99.24927
196   0.09407   -0.08457   0.14516   47.53122   0.09407   -0.08457   0.95462   0.28632   99.28894
197   0.09420   -0.08402   0.14546   47.51542   0.09420   -0.08402   0.95441   0.28687   99.21265
198   0.09408   -0.08307   0.14533   47.48677   0.09408   -0.08307   0.95459   0.28663   99.24011
199   0.09408   -0.08475   0.14507   47.53667   0.09408   -0.08475   0.95462   0.28614   99.25842
200   0.09408   -0.08582   0.14537   47.56937   0.09408   -0.08582   0.95428   0.28669   99.25842
201   0.09415   -0.08493   0.14519   47.54245   0.09415   -0.08493   0.95450   0.28636   99.18213
202   0.09416   -0.08423   0.14583   47.52235   0.09416   -0.08423   0.95419   0.28758   99.20959
203   0.09413   -0.08509   0.14500   47.54675   0.09413   -0.08509   0.95459   0.28599   99.17297
204   0.09403   -0.08600   0.14537   47.57507   0.09403   -0.08600   0.95419   0.28666   99.21875
205   0.09389   -0.08621   0.14532   47.58094   0.09389   -0.08621   0.95437   0.28663   99.13025
206   0.09378   -0.08759   0.14507   47.62208   0.09378   -0.08759   0.95428   0.28611   99.17908
207   0.09373   -0.08487   0.14559   47.54152   0.09373   -0.08487   0.95416   0.28709   99.25537
208   0.09387   -0.08515   0.14525   47.54897   0.09387   -0.08515   0.95444   0.28648   99.16077
209   0.09377   -0.08386   0.14576   47.51152   0.09377   -0.08386   0.95416   0.28742   99.20654
210   0.09374   -0.08554   0.14525   47.56087   0.09374   -0.08554   0.95441   0.28648   99.20654
211   0.09377   -0.08649   0.14526   47.58920   0.09377   -0.08649   0.95434   0.28651   99.20654
212   0.09388   -0.08444   0.14445   47.52678   0.09388   -0.08444   0.95492   0.28492   99.07227
213   0.09384   -0.08716   0.14518   47.60944   0.09384   -0.08716   0.95425   0.28632   99.24622
214   0.09378   -0.08640   0.14555   47.58697   0.09378   -0.08640   0.95416   0.28706   99.34387
215   0.09395   -0.08722   0.14527   47.61151   0.09395   -0.08722   0.95416   0.28648   99.21875
216   0.09409   -0.08707   0.14563   47.60721   0.09409   -0.08707   0.95407   0.28721   99.18213
217   0.09415   -0.08716   0.14569   47.61002   0.09415   -0.08716   0.95404   0.28733   99.22180
218   0.09415   -0.08689   0.14556   47.60168   0.09415   -0.08689   0.95410   0.28706   99.19128
219   0.09418   -0.08741   0.14566   47.61746   0.09418   -0.08741   0.95398   0.28724   99.18213
220   0.09408   -0.08652   0.14579   47.59127   0.09408   -0.08652   0.95392   0.28748   99.21875
221   0.09411   -0.08768   0.14600   47.62614   0.09411   -0.08768   0.95379   0.28791   99.24011
222   0.09416   -0.08475   0.14541   47.53732   0.09416   -0.08475   0.95437   0.28678   99.18213
223   0.09409   -0.08463   0.14541   47.53360   0.09409   -0.08463   0.95441   0.28678   99.20959
224   0.09404   -0.08490   0.14540   47.54187   0.09404   -0.08490   0.95437   0.28675   99.35608
225   0.09403   -0.08496   0.14587   47.54457   0.09403   -0.08496   0.95404   0.28764   99.22791
226   0.09393   -0.08448   0.14544   47.52922   0.09393   -0.08448   0.95434   0.28681   99.17908
227   0.09383   -0.08518   0.14592   47.55086   0.09383   -0.08518   0.95407   0.28776   99.25537
228   0.09380   -0.08460   0.14586   47.53334   0.09380   -0.08460   0.95416   0.28764   99.27673
229   0.09392   -0.08472   0.14599   47.53730   0.09392   -0.08472   0.95404   0.28788   99.16077
230   0.09381   -0.08512   0.14485   47.54742   0.09381   -0.08512   0.95468   0.28571   99.13025
231   0.09365   -0.08463   0.14492   47.53312   0.09365   -0.08463   0.95459   0.28581   99.24622
232   0.09370   -0.08518   0.14498   47.54948   0.09370   -0.08518   0.95459   0.28596   99.18823
233   0.09373   -0.08524   0.14481   47.55105   0.09373   -0.08524   0.95468   0.28562   99.16687
234   0.09380   -0.08560   0.14475   47.56195   0.09380   -0.08560   0.95468   0.28550   99.19739
235   0.09375   -0.08560   0.14501   47.56228   0.09375   -0.08560   0.95456   0.28602   99.27673
236   0.09397   -0.08512   0.14536   47.54831   0.09397   -0.08512   0.95434   0.28666   99.21875
237   0.09406   -0.08521   0.14500   47.55038   0.09406   -0.08521   0.95459   0.28599   99.16992
238   0.09400   -0.08536   0.14515   47.55534   0.09400   -0.08536   0.95444   0.28626   99.25842
239   0.09405   -0.08518   0.14608   47.55110   0.09405   -0.08518   0.95398   0.28806   99.25842
240   0.09414   -0.08588   0.14547   47.57135   0.09414   -0.08588   0.95422   0.28687   99.24011
241   0.09411   -0.08588   0.14509   47.57062   0.09411   -0.08588   0.95450   0.28617   99.24011
242   0.09418   -0.08615   0.14566   47.57994   0.09418   -0.08615   0.95407   0.28724   99.20044
243   0.09417   -0.08600   0.14593   47.57548   0.09417   -0.08600   0.95404   0.28779   99.22180
244   0.09408   -0.08582   0.14535   47.56929   0.09408   -0.08582   0.95431   0.28666   99.21875
245   0.09414   -0.08545   0.14521   47.55822   0.09414   -0.08545   0.95437   0.28639   99.29810
246   0.09416   -0.08524   0.14608   47.55300   0.09416   -0.08524   0.95395   0.28806   99.16077
247   0.09400   -0.08594   0.14531   47.57301   0.09400   -0.08594   0.95428   0.28657   99.25842
248   0.09381   -0.08560   0.14535   47.56293   0.09381   -0.08560   0.95431   0.28666   99.25537
249   0.09380   -0.08585   0.14570   47.57077   0.09380   -0.08585   0.95410   0.28733   99.30420
250   0.09386   -0.08551   0.14586   47.56094   0.09386   -0.08551   0.95404   0.28764   99.14856
