	Time(ms)	S0(mW)	S1	S2	S3	DOP(%)	Average DOP(%)	
1.50000	0.03204	0.76250	-0.58000	-0.28681	99.20654	99.20654
2.30000	0.03200	0.76260	-0.58028	-0.28632	99.17297	99.17297
3.10000	0.03207	0.76196	-0.58132	-0.28590	99.19739	99.19739
3.90000	0.03210	0.76272	-0.57973	-0.28715	99.17603	99.17603
0.50000	0.03202	0.76308	-0.57924	-0.28687	99.15466	99.15466
1.30000	0.03211	0.76348	-0.57903	-0.28623	99.15771	99.15771
2.10000	0.03209	0.76208	-0.58107	-0.28568	99.18518	99.18518
2.90000	0.03212	0.76150	-0.58187	-0.28599	99.16687	99.16687
3.70000	0.03216	0.76263	-0.57976	-0.28694	99.15771	99.15771
0.30000	0.03218	0.76186	-0.58095	-0.28669	99.16687	99.16687
1.10000	0.03218	0.76232	-0.58037	-0.28669	99.15771	99.15771
1.90000	0.03222	0.76244	-0.58034	-0.28639	99.13940	99.13940
2.70000	0.03228	0.76193	-0.58055	-0.28742	99.16077	99.16077
3.50000	0.03220	0.76296	-0.57945	-0.28697	99.16992	99.16992
0.10000	0.03234	0.76443	-0.57732	-0.28718	99.15161	99.15161
0.90000	0.03227	0.76485	-0.57723	-0.28642	99.16077	99.16077
1.70000	0.03228	0.76644	-0.57463	-0.28697	99.19128	99.19128
2.50000	0.03226	0.76510	-0.57643	-0.28736	99.18213	99.18213
3.30000	0.03235	0.76431	-0.57784	-0.28669	99.16382	99.16382
4.10000	0.03229	0.76217	-0.58049	-0.28672	99.13940	99.13940
0.70000	0.03231	0.76205	-0.58083	-0.28657	99.17297	99.17297
1.50000	0.03242	0.76211	-0.58055	-0.28678	99.13330	99.13330
2.30000	0.03236	0.76312	-0.57933	-0.28681	99.12109	99.12109
3.10000	0.03244	0.76287	-0.57924	-0.28751	99.20654	99.20654
3.90000	0.03237	0.76122	-0.58208	-0.28626	99.15161	99.15161
0.50000	0.03240	0.76122	-0.58226	-0.28581	99.14246	99.14246
1.30000	0.03238	0.76193	-0.58095	-0.28632	99.14246	99.14246
2.10000	0.03247	0.76202	-0.58123	-0.28596	99.15466	99.15466
2.90000	0.03240	0.76214	-0.58086	-0.28632	99.12415	99.12415
3.70000	0.03248	0.76235	-0.58086	-0.28581	99.13635	99.13635
0.30000	0.03245	0.76247	-0.58043	-0.28614	99.16382	99.16382
1.10000	0.03234	0.76232	-0.58049	-0.28645	99.14246	99.14246
1.90000	0.03241	0.76263	-0.58000	-0.28678	99.14246	99.14246
2.70000	0.03244	0.76345	-0.57903	-0.28636	99.17603	99.17603
3.50000	0.03243	0.76305	-0.57982	-0.28605	99.13330	99.13330
0.10000	0.03240	0.76330	-0.57906	-0.28690	99.15466	99.15466
0.90000	0.03255	0.76235	-0.58077	-0.28574	99.14856	99.14856
1.70000	0.03244	0.76278	-0.58028	-0.28553	99.15466	99.15466
2.50000	0.03248	0.76202	-0.58116	-0.28578	99.14551	99.14551
3.30000	0.03259	0.76263	-0.58046	-0.28553	99.17908	99.17908
4.10000	0.03251	0.76434	-0.57839	-0.28547	99.13635	99.13635
0.70000	0.03255	0.76394	-0.57888	-0.28550	99.14856	99.14856
1.50000	0.03260	0.76498	-0.57726	-0.28614	99.13940	99.13940
2.30000	0.03257	0.76449	-0.57808	-0.28590	99.13635	99.13635
3.10000	0.03255	0.76428	-0.57833	-0.28556	99.16687	99.16687
3.90000	0.03264	0.76476	-0.57756	-0.28587	99.20044	99.20044
0.50000	0.03258	0.76415	-0.57823	-0.28599	99.15771	99.15771
1.30000	0.03259	0.76363	-0.57927	-0.28547	99.16992	99.16992
2.10000	0.03267	0.76296	-0.58031	-0.28507	99.16992	99.16992
2.90000	0.03261	0.76244	-0.58089	-0.28532	99.13940	99.13940
3.70000	0.03265	0.76574	-0.57689	-0.28483	99.14856	99.14856
0.30000	0.03274	0.76583	-0.57659	-0.28492	99.15161	99.15161
1.10000	0.03268	0.76452	-0.57811	-0.28510	99.15161	99.15161
1.90000	0.03266	0.76482	-0.57772	-0.28550	99.16992	99.16992
2.70000	0.03275	0.76543	-0.57729	-0.28452	99.15161	99.15161
3.50000	0.03270	0.76437	-0.57863	-0.28452	99.16077	99.16077
0.10000	0.03275	0.76342	-0.57939	-0.28562	99.19434	99.19434
0.90000	0.03272	0.76373	-0.57872	-0.28602	99.18213	99.18213
1.70000	0.03276	0.76272	-0.58046	-0.28550	99.20349	99.20349
2.50000	0.03269	0.76244	-0.58098	-0.28507	99.14246	99.14246
3.30000	0.03273	0.76223	-0.58144	-0.28480	99.17297	99.17297
4.10000	0.03273	0.76244	-0.58113	-0.28486	99.18213	99.18213
0.70000	0.03265	0.76321	-0.57994	-0.28544	99.16992	99.16992
1.50000	0.03277	0.76434	-0.57863	-0.28477	99.16382	99.16382
2.30000	0.03273	0.76547	-0.57701	-0.28489	99.22180	99.22180
3.10000	0.03279	0.76421	-0.57860	-0.28535	99.19434	99.19434
3.90000	0.03281	0.76348	-0.57961	-0.28532	99.14551	99.14551
0.50000	0.03279	0.76428	-0.57848	-0.28510	99.20349	99.20349
1.30000	0.03282	0.76437	-0.57833	-0.28520	99.17603	99.17603
2.10000	0.03288	0.76510	-0.57732	-0.28532	99.16687	99.16687
2.90000	0.03294	0.76437	-0.57802	-0.28596	99.15771	99.15771
3.70000	0.03283	0.76327	-0.57958	-0.28590	99.15466	99.15466
0.30000	0.03300	0.76339	-0.57915	-0.28657	99.14856	99.14856
1.10000	0.03288	0.76437	-0.57820	-0.28553	99.15466	99.15466
1.90000	0.03291	0.76354	-0.57912	-0.28617	99.16687	99.16687
2.70000	0.03294	0.76409	-0.57817	-0.28639	99.13635	99.13635
3.50000	0.03303	0.76467	-0.57790	-0.28535	99.13940	99.13940
